country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Paraguay,,,,,,,,,,35.7,32,32.6,32.5,29.2,8.58,27.3,23.2,24.9,26.8,25.2,,
Peru,,,,,,,,,,,22.3,22.5,22.1,20.7,19.6,18.3,17.8,18.8,18.9,19.4,,
Philippines,,,,,,,,,19,,,,,,,23.9,,7.75,,,,
Poland,,,,,,,,57,57.1,55,54.7,56.6,58.5,59.3,60.6,,,66.9,,,,
Romania,,,,,,,,,,,44.3,,,51.6,49.2,,,,,,,
Russia,,,,,,,,,,,,,,,,,26.1,25.5,25.6,26.7,,
Rwanda,,,,,,,,8.32,,,,,3.03,,,4.93,,,,,,
Samoa,,,,,,,,,,,18.7,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,11.8,,,,,,,,
Serbia,,,,,,,,,,46.3,,,56.5,,,55,,54.9,,,,
Slovak Republic,,,,,,,,,,,,32.3,,,,,,,,,,
Solomon Islands,,,,,,,,24.6,,,,,,,,,,,,,,
South Africa,,,,,,,,36.6,,,,,23.9,,,,34.2,,,,,
South Sudan,,,,,,,,,,,,1.52,,,,,,,,,,
Sri Lanka,,,,,,,,,15.3,,,16,,,15.5,,,,17.3,,,
Sudan,,,,,,,,,,,,1.05,,,,,,,,,,
Syria,,,,,,67.6,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,7.6,,,,,,,,
Tanzania,,,,,,,,,,,22,,14.6,,17.7,,13.3,,,,,
Thailand,,,,,,,,,0.678,,,10.4,,18,,16.8,,,,,,
Timor-Leste,,,,,,,,,,9.81,,,,20.6,,,,,,,,
Togo,,,,,,,,,,,,,,28.5,,,,,,,,
Tonga,,,,,,,,,,,,29.1,,,,,,,,,,
Tunisia,,,,,,,,,,,,,3.8,,,,,,,,,
Turkey,,,,,,,29.6,30.8,28.5,29.5,27.9,34.8,37.3,36.8,38.1,37.7,37.9,38,39.4,,,
Uganda,,,,,,,,23.2,,,,12.8,,,13.5,,,,,,,
Ukraine,,,,,,,,,39.5,,,,,45.5,50.2,51.2,,38.6,30.4,,,
Uruguay,,,,,,,,,,,36.2,44.5,45.5,44.3,32.9,,,32.3,33.2,33.3,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,28.1,
Vietnam,,,,,,,,,26.3,,,,16.7,,19.9,,22.5,,,,,
Yemen,,,,,,,,9.21,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,34,,,,,3.02,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,50.1,,22.7
