country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Botswana,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,3,,,,,,,,,2.3,,,,,,,2.8,,,,,,3.9,,,
Brazil,,,,,,,,,,,,,,,2.7,2.6,2.6,2.7,2.9,2.7,2.4,2.1,2,2.3,,2.8,2.4,,2.4,2.2,2.3,2.4,2.5,,2.5,2.6,2.6,2.9,2.9,3,3,3.2,3.2,,3.3,3.3,3.5,3.6,3.6,3.3,3.2,3.1
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,5.7,6.5,6.9,6.8,6.3,6.4,6.2,5.7,6,5.3,5.4,5.7,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,5.1,,,,,5.8,,,,,,6.7,,,,,8.3,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,5.1,,,,,,,,8.9,,,,,,,6.9,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,6.2,,,,,,5.8,,,,,,,4.5,,,,
Canada,,,,,5.6,,,,6.8,,,,,,7.3,,,,,,7.6,,,,7.7,,,7.6,,,7.4,7.1,,7.1,,,,7,,,7.2,,,7.2,,,6.7,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,5,,,,,,,,5.7,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5.2,,,,,3.3,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,4.9,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,3.3,,,3.4,,3.8,,3.5,,3.6,,3.5,,3.8,,,4,,,5,,,5.2,,5.3,,5.5,,5.7,,5.8,
China,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,7.4,,,6.5,,,5.6,,,5.8,,,5.2,,5.1,5.4,5.3,6.2,6.2,6.4,6.5,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,2.4,,,2,1.9,2.4,3.1,3.5,3.5,3.6,,,3,3.3,3.3,3.5,3.5,3.5,3.5,3.8,3.9,4.1,4
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4.5,,,,
