country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,1.4,,,,,,,,,,,,
Albania,,,,,,,,,,,41.1,,,,34.6,,,,,,,
Argentina,,,,,,,,,26.7,,,,28.9,36.2,35.9,31.8,37.5,,35,36.5,36.5,
Armenia,,,,,,,,,,,45.2,47.2,46.8,48.2,44.5,52.2,51.6,52.1,53,45.7,,
Azerbaijan,,,,,,,,,,,,,,,,,,46.1,,,,
Bangladesh,,,,,,,,4.32,,,,,3.81,,,,,,2.23,,,
Belarus,,,,,,,,,,,41.8,37.5,38.3,,46.5,46.7,45,52.7,52.2,,,
Belize,,,,,,,,,,,,25,,,,,,,,,,
Benin,,,,,,12.2,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,1.28,,,,,1.04,,,,,1.31,,
Bolivia,,,,,,,,,20.7,20.2,17.6,18.8,,16.5,16.2,,16.4,39.8,16.9,16,,
Bosnia and Herzegovina,,,,,,,,,,44.5,,,,,,,,38.3,,,,
Botswana,,,,,,,,,,,,,,,,,,7.24,,,,
Brazil,,,,,,,,,41.8,,,40,,37.6,38.5,,,41.3,40.2,41.4,42.8,
Bulgaria,,,,,,,,,,38,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,5.24,,,,,
Cambodia,,,,,,,,,,,4.76,,,,,3.24,,,,,,
Cameroon,,,,,,,,,,5.26,,,,,,,5.84,,,,,
Cape Verde,,,,,,,,,,7.13,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,3.96,,,,,,,,
Chile,,,,,,,,,31.3,,,38.3,,23.4,,37.3,,41.4,,38.8,,
China,,,,,,,,,,,,,,,,40.8,,,,,,
Colombia,,,,,,,,,,,,,26.3,27.6,24.7,,23.1,27.1,27.2,26.6,27.5,
Comoros,,,,,,,3.17,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,3.43,,,,,,,,3.86,,,,,,,
"Congo, Rep.",,,,,,,,10.3,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,19,19.3,24,23.7,26.9,,26.3,23.8,25.4,28.2,,
Cote d'Ivoire,,,,,17.6,,,,,,15.9,,,,,,,12,,,,
Croatia,,,,,,,,,,,45.7,,53.9,53.8,,,53.9,,,,,
Djibouti,,,,,,,,,,,,,,,9.59,,,,,,,
