country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ethiopia,,,,,,,,,,23.9,,,,,,17.1,,,,,,,,7.94,,,,,,
Fiji,,,,,,,,,,,,,,,,5.45,,,,,,5.38,,,,,5.55,,,
Finland,,,,,,,,,14.3,12,11.1,10.6,10.4,10.9,10.1,8.75,8.15,7.04,6.38,9.15,8.92,8.18,8.2,8.76,9.4,10.2,9.51,9.42,8.28,7.2
France,,,,,,,,,11.1,11,9.1,7.59,7.73,7.61,8.15,7.69,7.74,6.87,6.63,8.43,8.37,8.51,9.41,10.1,10.6,10.8,10.6,10.1,9.65,9.16
Gambia,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,16.9,
Georgia,,,,,,,,,,,,,34.1,,,,,,,23,22.3,17.9,18.5,17.8,16.4,15.6,15.2,13.5,12.8,
Germany,,,,,,,,,9.95,8.65,7.89,8.04,8.66,10,11.1,11.1,9.9,8.25,7.22,7.6,6.83,5.7,5.23,5.08,4.63,4.24,3.69,3.29,2.88,2.71
Ghana,,,,,,,,,,,,,,,,,13.2,,,,,,,5.24,,14.2,,7.61,,
Greece,,,,,,,,,15.1,15.7,15.1,13.6,13,12.3,12.5,12,10.8,9.93,8.91,11.1,14.6,20.3,27.7,31.2,30.2,27.6,26.2,23.9,21.8,19.7
Guatemala,,,,,,,,,,,,,,8.38,8.95,,3.72,,,,4.65,7.87,7.07,6.05,5.9,6.38,5.96,5.47,,
Guinea,,,,,,,,,,,,,18.1,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,
Haiti,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,,,
Honduras,,,,,,,,,,,,,,,,10.7,8.07,6.14,5.9,7.59,9.76,10.2,8.19,11.7,12.5,12.4,12.5,11,10.3,
Hungary,,,,,,,,,8.41,6.7,6.45,5.24,5.06,5.4,5.37,6.93,6.94,6.69,7.12,9.41,10.6,10.7,10.8,10,7.38,6.4,4.76,3.74,3.35,3.02
Iceland,,,,,,4.03,3.05,3.23,2.06,1.81,1.28,1.02,2.1,3.59,4.65,1.61,2.31,1.63,1.84,6.44,7.46,6.04,4.77,4.35,4.27,3.35,3.07,2.42,2.28,3.33
India,,,,,9.42,,,,,,9.25,,,,,7.93,,,,,6.9,,6.34,,,,,,10.8,
