country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Senegal,,,,,,,,,,,,,,7.22,,,,,,,,
Serbia,,,,,,,,,,12.6,,,16.6,,,19,,22.2,,,,
Slovak Republic,,,,,,,,,,,,4.37,,,,,,,,,,
Solomon Islands,,,,,,,,13,,,,,,,,,,,,,,
South Africa,,,,,,,,34.4,,,,,23.9,,,,29.4,,,,,
South Sudan,,,,,,,,,,,,1.52,,,,,,,,,,
Sri Lanka,,,,,,,,,4.01,,,3.4,,,3.65,,,,5.77,,,
Sudan,,,,,,,,,,,,1.05,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,2.43,,,,,,,,
Tanzania,,,,,,,,,,,22,,15.8,,9.39,,3.69,,,,,
Thailand,,,,,,,,,0.171,,,3.15,,6.84,,6.22,,,,,,
Timor-Leste,,,,,,,,,,9.81,,,,2.06,,,,,,,,
Tunisia,,,,,,,,,,,,,3.8,,,,,,,,,
Turkey,,,,,,,2.68,1.46,1.65,1.74,1.91,6.37,7.76,7.42,7.65,5.98,5.77,6.7,6.51,,,
Uganda,,,,,,,,,,,,6.25,,,9.46,,,,,,,
Ukraine,,,,,,,,,7.23,,,,,9.48,10.7,11.8,,11,11,,,
Uruguay,,,,,,,,,,,7.77,,,,2.74,,,4.29,4.46,3.01,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,16.4,
Vietnam,,,,,,,,,14.1,,,,9.01,,2.49,,2.89,,,,,
Yemen,,,,,,,,3.27,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,2.42,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,82,,26.5
