country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,16.1,,,,8.31,,,,,,,,
Albania,,,,,,,,,,,29.7,,,,19.8,,,,,,,
Argentina,,,,,,,,,8.1,,,,7.49,15.5,16.3,14.7,11.7,,10.9,14.9,17.2,
Armenia,,,,,,,,,,,19.4,18.9,24.1,18.7,22.4,23.8,27,26.3,32.8,36.7,,
Azerbaijan,,,,,,,,,,,,,,,,,,26.7,,,,
Bangladesh,,,,,,,,12.6,,,,,12.2,,,,,,41.9,,,
Belarus,,,,,,,,,,,60.6,58.6,59.3,,60.1,56.5,54.4,50.4,52.2,,,
Belize,,,,,,,,,,,,13.6,,,,,,,,,,
Bhutan,,,,,,,,,,0.896,,,,,1.67,,,,,,,
Bolivia,,,,,,,,,10.4,52.7,76.2,80.8,,77.5,77.7,,80.3,78.8,81.3,82,,
Bosnia and Herzegovina,,,,,,,,,,20.2,,,,,,,,16.5,,,,
Botswana,,,,,,,,,,,,80.2,,,,,,59.2,,,,
Brazil,,,,,,,,,19.8,,,17.7,,18.7,20.1,,,17.3,14.1,13.4,12.5,
Bulgaria,,,,,,,,,,38.9,,,,,,,,,,,,
Burkina Faso,,,,,,33.3,,,,,,,,,,,2.66,,,,,
Cameroon,,,,,,,,,,1.61,,,,,,,0.578,,,,,
Cape Verde,,,,,,,,,,20.9,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,1.46,,,,,,,,
Chile,,,,,,,,,83,,,85,,85.9,,83.7,,78.9,,89.3,,
China,,,,,,,,,,,,,,,,40.2,,,,,,
Colombia,,,,,,,,,,,,,47.5,49.9,46.2,,64.5,24.4,21.8,20.2,19,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,9.26,,,,,,,
"Congo, Rep.",,,,,,,,0.883,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,58.9,57.2,52.4,51.6,51.1,,48.3,56.2,60.4,58.9,,
Cote d'Ivoire,,,,,5.57,,,,,,31.8,,,,,,,31.5,,,,
Croatia,,,,,,,,,,,18,,21.1,15.7,,,19.6,,,,,
Djibouti,,,,,2.96,,,,,,,,,,3.83,,,,,,,
Dominica,,,,,9.99,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,10.2,18.2,28.7,30.9,29.3,36,33.7,31.3,25.8,58.8,,,
Ecuador,,,,,,,,,,,63.5,,73.1,37.8,74.5,,78.4,77.2,72,76.6,,
Egypt,,,,,,,,,,,45.5,,,,,,,,,,,
El Salvador,,,,,,,,,,28,31.6,44.7,63.6,60.1,61.4,,57.7,90.8,91.8,86.3,,
Eswatini,,,47,,,,,,,,,56.6,,,,,,,89.1,,,
Ethiopia,,,,,,,0.667,,,,,,12.6,,,,,25.2,,,,
Fiji,,,,,,,,,,,9.43,,,,,32.5,,,,,,
Gabon,,,,,,,,48.8,,,,,,,,,,,,,,
Gambia,2.6,,,,,,,,,,,,8.52,,,,,,,,,
Georgia,,,,,,,,,,,,,,66.7,,,,,9.28,,,
