country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,0.294,,,,,,,,,,,,
Albania,,,,,,,,,,,46.2,,,,37.6,,,,,,,
Argentina,,,,,,,,,20.6,,,,26.6,26,27,28,26.1,,26.7,28.5,27.2,
Armenia,,,,,,,,,,,52,54.8,53.6,55.3,58.3,52.7,57.9,55,53.7,60.5,,
Azerbaijan,,,,,,,,,,,,,,,,,,53.6,,,,
Bangladesh,,,,,,,,0.751,,,,,0.569,,,,,,0.482,,,
Belarus,,,,,,,,,,,42,42.6,43.7,,46.7,51.2,48.4,52.6,48.9,,,
Belize,,,,,,,,,,,,30.3,,,,,,,,,,
Benin,,,,,,3.53,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,1.99,,,,,0.719,,,,,0.302,,
Bolivia,,,,,,,,,1.16,1.5,4.9,3,,4.75,5.33,,4.31,61,2.95,2.82,,
Bosnia and Herzegovina,,,,,,,,,,40.4,,,,,,,,42.9,,,,
Botswana,,,,,,,,,,,,,,,,,,1.14,,,,
Brazil,,,,,,,,,23.4,,,21.5,,23.4,22.9,,,26.3,24.5,24.9,26.2,
Bulgaria,,,,,,,,,,53.4,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,1.08,,,,,
Cambodia,,,,,,,,,,,2.62,,,,,1.19,,,,,,
Cameroon,,,,,,,,,,2.12,,,,,,,1.99,,,,,
Cape Verde,,,,,,,,,,5.94,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,1.92,,,,,,,,
Chile,,,,,,,,,31.2,,,43.5,,22.6,,46.3,,45.7,,48.7,,
China,,,,,,,,,,,,,,,,31.5,,,,,,
Colombia,,,,,,,,,,,,,2.07,1.92,2.1,,3.22,2.83,3.19,3.37,2.8,
Comoros,,,,,,,1.21,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,1,,,,,,,,0.603,,,,,,,
"Congo, Rep.",,,,,,,,8.76,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,9.26,20.1,11,10.5,11.7,,10.8,12.4,12.4,14.4,,
Cote d'Ivoire,,,,,20.9,,,,,,4.84,,,,,,,6.44,,,,
Croatia,,,,,,,,,,,59.8,,62.3,60.1,,,50.5,,,,,
Djibouti,,,,,,,,,,,,,,,8.65,,,,,,,
Dominica,,,,,11.6,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,4.5,3.83,2.83,4.11,4.6,2.87,3.77,5.11,5.87,6.84,,,
Ecuador,,,,,,,,,,,3.07,,3.84,5.18,6.81,,6.8,7.36,7.53,7.73,,
Egypt,,,,,,,,,,,14.2,,,,,,,,,,,
El Salvador,,,,,,,,,,2.45,5.71,3.4,2.57,3.79,2.94,,3.15,1.81,1.87,2.46,,
Eswatini,,,,,,,,,,,,,,,,,,,6.08,,,
Ethiopia,,,,,,,,,,,,,,,,,,0.87,,,,
Fiji,,,,,,,,,,,5.44,,,,,6.55,,,,,,
Gabon,,,,,,,,14.5,,,,,,,,,,,,,,
Gambia,2.03,,,,,,,,,,,,1.47,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,64.3,,,
Ghana,,,,,,,,2.64,,,,,,,59.4,,,,49.1,,,
Guatemala,,,,,,,,,1.88,,,,,2.24,,,1.14,,,,,
Guinea,,,,,,,,,,,,,,,0.688,,,,,,,
Haiti,,,,,,,,,,,,,,,0.144,,,,,,,
Honduras,,,,,,,,,,,0.678,0.983,1.04,1.06,,0.857,,0.509,0.87,0.805,,
Hungary,,,,,,,,,,58.6,,,,,,,,,,,,
India,,,,,,,,,,,,,,21.6,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,2.92,3.13,,4.53,,
Iraq,,,,,,,,,24.6,,,,,,25.6,,,,,,,
Jamaica,,,,,4.38,,,,,,,,3.39,,,,,,,,,
Jordan,,,,,,,,,24.3,,,,25.9,,,,,,,,,
Kazakhstan,,,,,,,,,,29.7,,,28.6,,,,1.21,26.7,,,,
Kenya,,,,,,,,0.689,,,,,,,,,,0.747,,,,
Kyrgyz Republic,,,,,,,,,28.4,,,,,41.5,42.2,38.4,,,,,,
Lao,,,,,,,,,,0.732,,,,,,,,,,,,
Latvia,,,,,,,,,,,51.1,51.7,,,,,,,,,,
Lebanon,,,,,,,43.3,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,0.345,,
