country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burkina Faso,,89.9,89.5,,,,,87.4,87,86.5,85.7,84.7,83.2,81.9,80.6,78.5,76.5,74.9,74.4,74.1,,72.8,72.3,71.3,70.1,68.5,,,65,64.5,63.3,62.2,63.3,61,58.9,54,50.4,45,39,36.1,39.7,35,33.9,32.8,31.6,29.9,24.1,23,20.7,
Burundi,,,,81.4,,,,,82.9,,81.3,79.4,76.1,70,65.3,61,58.5,53.4,50.8,,,,,50.9,,,,,,,58.6,49.7,50.5,47,45.4,42.1,25.5,18.2,7.55,9.24,4.44,,,,,,,4.33,6.39,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,15,13.1,6.83,,,1.94,,,4.85,4.11,5.18,,6.38,2.25,2.27,,4.65,4.44,7.02,9.2,9.31,
Cameroon,,35.7,36.8,38.5,40.6,34,32.6,33.8,32.5,31.5,31.3,,,,,,,,25.9,,26.8,28.8,,,,,,,,,,,,,,,,,15.3,12.6,,10.9,5.44,,4.77,4.37,4.98,6.53,,
Canada,,,,,,,,,,,,,3.91,4.17,4.74,4.9,4.58,4.52,4.52,4.28,4.27,1.69,1.93,3.56,4.11,5.24,4.31,,0.847,0.0719,0.0795,,,,,,,,,,,,0.548,0.568,0.609,0.411,0.0441,0.117,,
Cape Verde,,,,,,,,,,,,10.4,11.8,14.9,8.32,5.43,4.13,2.92,0.446,,0.797,,,,0.852,,,,0.171,,0.438,2.46,3.02,3.31,4.62,3.43,2.18,2.61,3.25,4.25,5.24,6.53,6.19,6.79,6.73,6.61,7.14,6.99,6.45,
Central African Republic,,49.8,47.2,44.9,,,,48.5,48.6,,,43.4,41.6,39.7,,,36.5,47.2,49.5,49.5,40.4,45.2,,,,,,,,,,,,,,52.4,52.2,44.4,35.7,35.7,33.5,35.8,33.4,,,,,,,
Chad,,,,,,75.8,,75.3,,,,,,,,,,,66.7,,,,,,,,62.7,57.4,52.2,50.3,48.6,47.4,43.9,42.4,,,,,,,,37.5,,21.9,,20.6,26.5,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,2.63,4.15,2.83,3.36,3.51,3.95,3.9,3.71,3.06,2.27,,
China,,,,,,,,,,,,,,,,,,7.15,5.42,3.86,3.12,3.18,4.13,5.27,6.89,8.7,9.96,10.7,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,27.1,,28.8,30,31.9,31.2,31.3,31.1,,28.1,20,19.4,18.6,15.5,10.7,,2.34,1.26,0.791,2.81,1.71,,3.06,0.134,0.143,0.281,0.106,0.678,2.19,2.68,4.76,,,3.62,4.58,2.65,2.24,
Comoros,,,,,,,,,,,,,,12.7,,,16.5,24.4,,,,,,,30.8,,,,,39,32.5,,,,,,,20.8,,,,,,12.1,13.4,,,14.7,18.2,
"Congo, Dem. Rep.",,30.7,32.4,,,29.8,,,,26.8,,,,24.3,23.7,,,,35.4,,,38.6,40.3,41.3,40.1,32.1,,,,63.2,,,,,,,,,,,,,,,,,,,,
