country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,6.17,10.7,10.8,6.78,10.2,11.2,10.2,,,8.49,7.95,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,,,,,32.4,32.1,33.3,34.5,34,35.5,36,37.2,37.1,37.6,37.8,38.8,40.3
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505,,,,1.09,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,,,,,,,,,,,12.3,,,,,,,,,,5.17,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,29.5,30,30.5,31.2,31.6,32.1,32.6,33.1,33.7,34.1,34.3,,35.2,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,20.5,,22.5,22.9,24.1,24.4,25.1,26,27.2,28.5,30.4,29.5,30.1,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,,,,,,30.2,,30.9,,32.9,34.1,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,22.1,21.5,22,23,24,24.3,25,25.6,26,24.9,25.4,26.2,,25.7
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,17.9,19,19.2,,20,,,,23,23.7,21.2,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,,,,3.41,,,,,,2.57,2.86,8.53,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,2.81,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,,,,8.03,7.14,,9.77,9.67,10.8,,9.75
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,14.7,,,,18.7,19,20,21,21.5,20.9,21.7,21.4,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.95,4.5,4.32,7.5,,7.88,,,8.65,9.25,9.4,,9.99
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,15.8,,18.5,,19.8,21.3,21.7,,23.1,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,33.1,31.8,,,,,,36.7,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,41.1,41.8,,42.8,43.3,44.1,44.7,45.4,46.8,47.1,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36,,,,10.1,10.6,11.1,11.7,11.9,12.1,12.2,12.8,,13.8,14.4,,,
Japan,9.48,,,,,,,,,,14.3,,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,34.4,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.525,,,,15.5,15.9,,16.2,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,,,,25.5,,52.4,,,,,,,,,73.9
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,16.4,,,,,,,,,,,,,,,,,8.46,8.3,8.07,8.28,,,,9.52,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,17.6,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,19.9,20.2,21.4,24,25,25.4,26,27.3,29.3,28.6,29.9,31.6,,33.1
Lebanon,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,
Lesotho,,,,,,,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,1.89,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,23.4,25.7,26.4,26.8,28.1,29.3,29.3,29.9,31.5,33.1,33.9,34.5,
