country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Peru,,,,,,,,,,,9.66,18.3,24.4,21.6,80.6,16.7,14.8,18.7,17.1,17.6,,
Philippines,,,,,,,,,,,,,,,,4.84,,7.88,,,,
Poland,,,,,,,,36.3,34.7,33,29.6,28.7,26.5,26.5,24.6,,,20.8,,,,
Romania,,,,,,,,,,,32.6,,,42.6,41.8,,,,,,,
Russia,,,,,,,,,,15.5,,,,,,,53.4,55.6,54.5,51.8,,
Rwanda,,,,,,,,2.8,,,,,19.1,,,14.9,,,,,,
Senegal,,,,,,,,,,,,,,11.2,,,,,,,,
Serbia,,,,,,,,,,4.81,,,2.47,,,3.84,,5.56,,,,
Sierra Leone,,,,,,,,,,,,,,27.5,,,,,,,,
Slovak Republic,,,,,,,,,,,,53.8,,,,,,,,,,
Solomon Islands,,,,,,,,3.73,,,,,,,,,,,,,,
South Africa,,,,,,,,13.1,,,,,22.3,,,,44.9,,,,,
South Sudan,,,,,,,,,,,,8.3,,,,,,,,,,
Sri Lanka,,,,,,,,,7.27,,,5.01,,,9.18,,,,9.3,,,
Sudan,,,,,,,,,,,,2.33,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,7.03,,,,,,,,
Tanzania,,,,,,,,,,,11.9,,16.9,,17.6,,10.3,,,,,
Thailand,,,,,,,,,15.6,,,36.9,,36.9,,32.4,,,,,,
Timor-Leste,,,,,,,,,,28.6,,,,29.8,,,,,,,,
Tunisia,,,,,,,,,,,,,10.3,,,,,,,,,
Turkey,,,,,,,17.8,18.5,20.6,18.6,21.7,3.57,4.32,3.37,2.98,2.63,3.25,2.58,2.11,,,
Uganda,,,,,,,,9.46,,,,6.63,,,34.9,,,,,,,
Ukraine,,,,,,,,,37.3,,,,,36.7,39.8,33.2,,22.7,26.3,,,
Uruguay,,,,,,,,,,,27.4,26.5,29.3,29.6,30,,,27.3,28.5,29.1,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,3.62,
Venezuela,,,,,,,,,2.88,,,,,,,,,,,,,
Vietnam,,,,,,,,,9.48,,,,27,,5.71,,3.27,,,,,
Yemen,,,,,,,,7.61,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,0.355,,,,,2.4,,,,
Zimbabwe,,,,,,,,,,13.6,,,,13.5,,,,,,4.56,,14.6
