country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,,,,,,43
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,,,,,,95.9,,,96.8,97.2,,,,,,98.1
Algeria,,,,,,,,,,,,,,,,,,49.6,,,,,,,,,,,,,,,69.9,,,,72.6,,75.1,,,,,,,,,,81.4
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4,,,,,,,,,,,,,66,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,99,,,,99,,,
Argentina,,,,,,,,,,,93.9,,,,,,,,,,,96.1,,,,,,,,,,97.2,,,,,98.6,,,99,99,99.1,99.1,99.1,99,99.2,99.1,,99
Armenia,,,,,,,,,,,,,,,,,,,,98.8,,,,,,,,,,,,99.4,,,,,,,,,,99.7,,,,,,99.7,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,,,,,,,,99.6,,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,
Bahrain,,,,,,,,,,,,69.8,,,,,,,,,,84,,,,,,,,,,86.5,,,,,,,,,91,,,,,,97.1,97.4,97.5
Bangladesh,,,,,,,,,,,,29.2,,,,,,,,,,35.3,,,,,,,,,,47.5,,,,,,46.7,,,,58.8,57.9,61,61.1,65.1,72.8,72.9,73.9
Barbados,99.3,,,,,,,,,,,,,,99.6,,,,,,,,,,99.6,,,,,,,,,,99.6,,,,,,,,,,99.6,,,,
Belarus,,,,,,,,,,,,,,,,,,,,97.9,,,,,,,,,,99.6,,,,,,,,,,99.6,,,,,,,,,99.8
Belize,,,,,,,,,,,,,,,,,,,,,,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,16.5,,,,,,,,,,,,,27.2,,,,,,,,,,34.7,,,,28.7,,,,,,32.9,,,,,,42.4
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8,,,,,,,57,,,,,66.6,
Bolivia,,,,,,,63.2,,,,,,,,,,,,,,,,80,,,,,,,,,86.7,,,,,,90.7,90.7,91.2,,92.2,94.5,,,92.5,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,89.1,,,,,,,,,96.7,,,,,,,,,,,98.1,,97,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,68.6,,,,,,,,,,,,81.2,,,,,,,,,,86.8,,,,,
Brazil,,,,,,,,,,,74.6,,,,,,,,,,,,,,,,,,,,86.4,,,,88.6,,89.6,90,90,90.3,90.4,91.4,91.3,91.5,91.7,92,92.8,93.1,93.2
Brunei,,,,,,,,,,,,77.7,,,,,,,,,,87.8,,,,,,,,,,92.7,,,,,,,,,,96.1,,,,,,,97.2
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,,,,,,,,,,98.4,,,,,,,
Burkina Faso,,,,,,8.69,,,,,,,,,,,,,,,,13.6,,,,,12.8,,,,,,,21.8,,23.6,22.5,28.7,,,,,,,34.6,,,,41.2
Burundi,,,,,,,,,,22.5,,,,,,,,,,,37.4,,,,,,,,,,59.3,,,,,,,,48.1,,,,,,61.6,,,68.4,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,,,,,,73.6,,,,77.6,73.9,,,,,78.1,80.5,,,
Cameroon,,,,,,,41.2,,,,,,,,,,,,,,,,,,,,,,,,68.4,,,,,,,70.7,,,71.3,,,,,,,,77.1
Cape Verde,,,,,,,,,,,,,,,,,,,,,62.8,,,,,,,,,,76.1,,,,,,,,,,,,85.3,,,86.8,,,
Central African Republic,,,,,,18.2,,,,,,,,,,,,,33.6,,,,,,,,,,,,50.6,,,,,,,,,,36.8,,,,,,,,37.4
Chad,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,25.7,,,,28.4,,,,,,,,,,,26,22.3,,
Chile,,,,,,,,,,,,,91.1,,,,,,,,,,94.3,,,,,,,,,,95.7,,,,,,98.6,98.6,,96.7,,96.3,,96.9,,96.4,
China,,,,,,,,,,,,,65.5,,,,,,,,77.8,,,,,,,,,,90.9,,,,,,,,,,95.1,,,,,,,,96.8
Colombia,,,,,,,,,,,,,,,,,,,,,,,,91.1,,,91.2,,,,,,,,92.8,92.8,92.3,92.7,93.4,93.2,93.4,93.6,,,94.2,94.2,94.7,,95.1
