country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bolivia,609000,621000,646000,680000,711000,761000,796000,790000,816000,848000,857000,890000,,951000,1020000,,1040000,1130000,,1060000,1100000,1130000,1160000,1190000,1240000,1290000,1330000,1370000,1400000,1440000,1460000,1470000,1500000,1490000,1500000,1510000,1510000,1510000,1510000,1470000,1440000,1400000,1370000,1360000,1350000,1350000,1350000,1370000,1380000,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000,182000,174000,175000,171000,167000,163000,161000,163000,162000,161000,159000,
Botswana,83000,78400,81700,95500,104000,116000,126000,137000,145000,157000,172000,178000,187000,198000,210000,224000,236000,249000,261000,275000,284000,299000,301000,305000,310000,314000,319000,322000,321000,322000,324000,329000,331000,330000,329000,329000,330000,328000,327000,331000,,,336000,340000,341000,345000,,,,
Brazil,12800000,13600000,13700000,14000000,14000000,13900000,13500000,14200000,14800000,15700000,16100000,16000000,16700000,16400000,17500000,17300000,,17600000,18800000,18400000,20300000,19000000,19200000,19400000,19900000,,,20600000,,20900000,20200000,19700000,19400000,18900000,19000000,18700000,,18000000,17800000,17500000,16900000,16500000,16100000,16800000,16600000,16300000,16100000,16100000,,
Brunei,27900,29700,30700,30800,30700,30100,30800,32200,33100,29900,30500,31700,31700,32800,34400,34800,37000,36900,38100,39900,,38900,39800,41100,42300,42700,43300,43500,45400,45800,45400,44500,44900,46200,46400,46000,46100,46000,45100,44700,44200,43800,42800,42100,41100,40400,40500,39600,39500,
Bulgaria,,542000,528000,514000,501000,485000,496000,507000,523000,528000,521000,523000,544000,556000,572000,579000,568000,571000,553000,529000,479000,456000,440000,430000,424000,425000,434000,432000,426000,412000,393000,374000,350000,333000,314000,290000,273000,268000,263000,261000,260000,255000,252000,254000,259000,262000,262000,265000,,
Burkina Faso,,105000,112000,118000,125000,134000,141000,149000,160000,171000,185000,202000,224000,251000,277000,314000,352000,390000,412000,443000,473000,504000,530000,563000,600000,650000,701000,,778000,816000,852000,901000,938000,1010000,1140000,1270000,1390000,1560000,1740000,1910000,2050000,2210000,2340000,2470000,2590000,2710000,2870000,3040000,3210000,
Burundi,,182000,179000,137000,127000,130000,130000,131000,142000,146000,160000,176000,206000,259000,301000,343000,386000,452000,533000,568000,596000,633000,631000,651000,,530000,427000,454000,555000,671000,705000,751000,817000,895000,968000,1040000,1320000,1490000,1600000,1740000,1850000,1950000,1980000,2010000,2050000,2070000,2110000,2130000,2170000,
Cambodia,,338000,484000,480000,,,,,,,,1330000,1540000,1600000,1500000,1370000,1320000,1290000,1280000,1310000,1280000,1330000,,,1620000,1700000,,1920000,2010000,2130000,2250000,2430000,2730000,2770000,2760000,2700000,2580000,2480000,2340000,2290000,2270000,2220000,2190000,2220000,2130000,2180000,2110000,2110000,2150000,
Cameroon,,923000,930000,968000,1010000,1070000,1120000,1150000,1200000,1250000,1300000,1380000,1440000,1540000,1560000,1630000,1710000,1800000,1880000,1880000,1950000,1960000,1920000,,1890000,1900000,1790000,1920000,2020000,2130000,2240000,2690000,2740000,2800000,2980000,2980000,3000000,3120000,3200000,3350000,3510000,3590000,3850000,,4140000,4370000,4480000,4370000,4200000,
Canada,,2850000,2790000,2700000,2600000,2530000,2440000,2360000,2300000,2240000,2210000,2180000,2300000,2270000,2250000,2240000,2250000,2270000,2290000,2320000,2350000,2380000,2390000,2400000,2400000,2410000,2450000,,2400000,2430000,2460000,,,,2390000,2320000,2310000,2260000,2200000,2190000,2170000,2150000,2180000,2210000,2250000,2300000,2320000,2360000,,
Cape Verde,,27900,34400,42800,49400,52600,64800,60400,59500,58800,58100,57600,56300,52900,55800,56700,57900,60200,62700,65400,67800,69800,,,78200,,,,91800,92500,91600,90600,89800,87800,85100,83000,81400,78800,76300,73500,71100,69100,67900,67700,67000,65600,64300,63600,64100,
Central African Republic,,176000,178000,194000,200000,216000,221000,234000,239000,241000,243000,246000,260000,271000,291000,308000,310000,274000,286000,297000,324000,308000,278000,,,,,,,,,459000,411000,415000,363000,412000,419000,495000,584000,608000,637000,648000,662000,,,,814000,,,
Chad,,183000,184000,188000,198000,202000,213000,221000,,,,,,,,288000,338000,341000,419000,425000,492000,525000,569000,553000,542000,548000,591000,681000,787000,840000,914000,984000,1090000,1160000,1270000,1260000,1300000,1320000,1530000,1670000,1730000,1930000,2090000,2330000,2440000,2270000,2210000,,,
Chile,1750000,1880000,1910000,1930000,1940000,1900000,1850000,1830000,1810000,1800000,1750000,1710000,1680000,1650000,1590000,1600000,1570000,,1540000,1560000,1590000,1610000,1580000,1610000,,,1690000,1750000,1780000,1800000,1800000,,1750000,1710000,1760000,1720000,1690000,1680000,1660000,1610000,1550000,1520000,1500000,1470000,1470000,1480000,1490000,1510000,,
China,101000000,105000000,112000000,125000000,136000000,145000000,151000000,150000000,146000000,146000000,147000000,146000000,143000000,140000000,136000000,136000000,134000000,132000000,128000000,125000000,124000000,122000000,122000000,122000000,124000000,128000000,132000000,136000000,140000000,,,130000000,,,,,109000000,107000000,106000000,104000000,101000000,99700000,99500000,98900000,95100000,96000000,98200000,100000000,102000000,
Colombia,3290000,3470000,3570000,3730000,3790000,3910000,4060000,4160000,4270000,4340000,4170000,4220000,3930000,3980000,4010000,4040000,4000000,4110000,4160000,4210000,4250000,4310000,4530000,4600000,4650000,4690000,4920000,,5140000,5160000,5220000,5130000,5190000,,5260000,5300000,5300000,5290000,5290000,5300000,5080000,4920000,4740000,4710000,4540000,4480000,4450000,4350000,4300000,
Comoros,,15000,15600,20100,23200,28600,35800,42300,,49900,,59700,,61500,61900,62300,66100,62400,64700,66300,67800,72800,75600,73800,77800,,78500,,86000,82800,93400,,104000,104000,104000,,,105000,111000,,,117000,,120000,120000,,,122000,124000,
"Congo, Dem. Rep.",,3090000,3180000,3290000,3360000,3430000,3540000,3640000,3790000,3920000,4050000,4200000,4340000,4500000,4650000,4520000,4650000,4160000,4360000,,3430000,4560000,4620000,4870000,4940000,5420000,,,4830000,4020000,,,5460000,,,,,8840000,9970000,10200000,10600000,11100000,12000000,12600000,13500000,13800000,,,,
"Congo, Rep.",,241000,262000,277000,293000,307000,319000,330000,346000,359000,383000,391000,407000,423000,443000,458000,476000,499000,491000,495000,492000,494000,492000,512000,506000,518000,497000,499000,428000,276000,419000,501000,525000,510000,584000,597000,617000,622000,628000,672000,705000,727000,734000,,,,,,,
Costa Rica,349000,356000,366000,374000,368000,361000,366000,367000,360000,354000,349000,349000,342000,344000,351000,363000,380000,393000,410000,422000,435000,453000,471000,485000,496000,507000,519000,525000,530000,570000,551000,552000,546000,,558000,542000,547000,536000,535000,532000,521000,507000,495000,480000,476000,473000,476000,472000,484000,
Cote d'Ivoire,465000,503000,528000,567000,606000,641000,673000,736000,810000,889000,954000,1020000,1090000,1130000,1160000,1180000,1210000,1250000,1310000,1360000,1410000,1410000,1450000,1460000,1550000,1610000,1660000,1740000,1810000,1910000,1940000,2050000,2120000,2050000,,,2110000,2180000,2360000,2380000,,2760000,2920000,3020000,3180000,3370000,3620000,3770000,3900000,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,207000,213000,210000,208000,204000,206000,203000,199000,196000,193000,192000,,196000,195000,191000,182000,174000,167000,162000,160000,160000,161000,162000,163000,163000,,
