country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,,,,,,,7.87,,,,17,,,,,,,
Argentina,,,,,1.32,,,,1.38,1.19,0.971,0.273,0.724,,0.332,0.324,0.516,
Armenia,,,,,,,2.72,4.47,5.5,6.52,3,3.39,0.782,,,,,
Azerbaijan,,,,,,,,,,,,,,3.81,,,,
Bangladesh,,,,,,,,,3.81,,,,,,,,,
Belarus,,,,,,,2.17,2.34,2.27,,0.603,,,2.82,1.98,,,
Belize,,,,,,,,4.09,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,0.588,4.86,2.99,,
Bosnia and Herzegovina,,,,,,3.52,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,7.11,,,,
Brazil,,,,,5.3,,,6.09,,5.35,5.95,,,8.39,2.52,1.27,0.858,
Bulgaria,,,,,,25.4,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,0.556,,,,,,
Cameroon,,,,,,,,,,,,,0.138,,,,,
Cape Verde,,,,,,7.2,,,,,,,,,,,,
Chile,,,,,11.9,,,12.3,,0.444,,13.9,,14.2,,13.3,,
Comoros,,,0.372,,,,,,,,,,,,,,,
Costa Rica,,,,,,,16.2,22.6,15,16.8,16,,19.9,20.6,20.2,22.9,,
Cote d'Ivoire,0.396,,,,,,,,,,,,,,,,,
Croatia,,,,,,,4.7,,8.62,6.82,,,7.96,,,,,
Djibouti,0.0136,,,,,,,,,,2.19,,,,,,,
Ecuador,,,,,,,0.421,,0.348,0.198,0.393,,1.08,1.49,,0.615,,
El Salvador,,,,,,0.548,0.551,0.656,1.66,0.617,0.985,,2.17,1.49,0.837,1.63,,
Eswatini,,,,,,,,,,,,,,,2.03,,,
Georgia,,,,,,,,,,0.0692,,,,,,,,
Ghana,,,,0.388,,,,,,,11.8,,,,,,,
Guatemala,,,,,,,,,,,,,1.25,,,,,
Honduras,,,,,,,0.0192,,1.32,2.68,,,,,,,,
Hungary,,,,,,20.7,,,,,,,,,,,,
India,,,1.5,,,,,1.96,,,,,,,,,,
Indonesia,,,,,,,,1.29,,3.85,3.02,,4.36,4.72,,5.68,,
Iraq,,,,,0.651,,,,,,2.78,,,,,,,
Jamaica,4.07,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,22.6,,,,,
Kyrgyz Republic,,,,,,,,,,25.7,17.4,25.3,,,,,,
Latvia,,,,,,,7.67,14,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,1.92,,
Liberia,,,,,,11.4,,,,,,,,,,,,
Lithuania,,,,,,,2.87,,,,,,,,,,,
Madagascar,,,,,,,,,1.03,,,,,,,,,
Mauritius,,,,,1.5,,,,,,4.13,,,,,,,
Moldova,,,,,,,,,4.74,,3.13,2.11,,,,,,
Mongolia,,,,,,8.53,,10.5,6.77,,10.2,,8.39,,9.49,,,
Montenegro,,,,,,,,,,3.58,7.15,4.92,2.46,,,,,
Morocco,,,,,,,,6.85,,,,,,,,,,
Mozambique,,,,,,,,,,,,,0.676,,,,,
Myanmar,,,,,,,,0.783,,,,,,,,,,
Namibia,,,,,,,,,,,,,,2.5,,,,
Nicaragua,,,,,,,,1.49,,,,,6.2,,,,,
Panama,,,,,,,8.74,1.22,1.27,0.667,0.844,,0.994,0.607,0.698,1.09,1.54,
Peru,,,,,,,,,,,,1.31,,,,,,
Poland,,,,47.6,42.3,31.8,24.8,27.5,5.86,4.05,4.34,,,2.78,,,,
Romania,,,,,,,1.49,,,3.45,2.22,,,,,,,
Russia,,,,,,1.43,,,,,,,8.65,7.72,7.32,6.57,,
Rwanda,,,,17.6,,,,,5.33,,,0.558,,,,,,
Senegal,,,,,,,,,,3.57,,,,,,,,
Serbia,,,,,,,,,,,,,,2.16,,,,
Slovak Republic,,,,,,,,12,,,,,,,,,,
South Africa,,,,0.421,,,,,,,,,,,,,,
Tanzania,,,,,,,,,3.06,,3.14,,0.0539,,,,,
Turkey,,,,,,,,0.789,0.447,0.507,0.453,0.457,0.49,1.2,0.596,,,
Ukraine,,,,,10.2,,,,,4.82,6.42,3.67,,,5.99,,,
Uruguay,,,,,,,1.97,3.19,2.35,2.95,3.16,,,4.29,4.06,3.83,,
Vietnam,,,,,18.9,,,,40.4,,33.5,,24.4,,,,,
Yemen,,,,0.0689,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,0,,0
