country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,0.179,0.179,0.179,0.179,0.179,0.199,0.199,0.199,0.199,0.218,0.336,0.46,0.46,0.541,0.566,0.55,0.55,0.55,0.55,0.55,0.562,0.562,0.547,0.547,0.547,0.562,0.562,0.562,0.562,0.562,0.569,0.569,0.569,0.569,0.569,0.554,0.554,0.554,0.57,0.57,0.586,0.507,0.482,0.46
Bulgaria,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.385,0.385,0.385,0.385,0.385,0.385,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.568,0.53,0.552,0.57,0.54,0.547,0.529,0.529,0.546,0.493
Burkina Faso,0.358,0.358,0.358,0.371,0.354,0.34,0.3,0.3,0.338,0.386,0.395,0.408,0.408,0.378,0.364,0.476,0.461,0.486,0.525,0.525,0.525,0.525,0.525,0.525,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.556,0.556,0.542,0.526,0.599,0.62,0.602,0.582,0.549,0.555
Burundi,0.209,0.325,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.4,0.423,0.423,0.423,0.423,0.432,0.421,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.399,0.329,0.329,0.317,0.31,0.31,0.318,0.329,0.329,0.293,0.293,0.275,0.152,0.164,0.0953
Cambodia,0.081,0.081,0.081,0.081,0.081,0.223,0.223,0.223,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.278,0.329,0.329,0.329,0.329,0.344,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.306,0.306,0.231,0.231,0.231,0.206,0.188,0.222
Cameroon,0.307,0.307,0.307,0.307,0.282,0.221,0.246,0.212,0.212,0.246,0.233,0.233,0.233,0.233,0.233,0.3,0.3,0.3,0.342,0.342,0.342,0.354,0.345,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.302,0.302,0.302,0.302,0.302,0.302,0.302,0.306,0.277,0.277,0.277,0.243,0.232,0.245
Canada,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.757,0.813,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.861,0.869,0.796,0.831,0.796,0.74
Central African Republic,0.149,0.149,0.149,0.149,0.221,0.33,0.385,0.359,0.359,0.359,0.359,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.318,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.354,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.293,0.278,0.231,0.299,0.299,0.299,0.341,0.327
Chad,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.208,0.242,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.271,0.271,0.271,0.252,0.252,0.252,0.252,0.199,0.203
Chile,0.225,0.225,0.225,0.225,0.225,0.333,0.333,0.348,0.348,0.36,0.36,0.36,0.36,0.36,0.438,0.601,0.643,0.643,0.643,0.643,0.643,0.643,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.679,0.679,0.735,0.735,0.735,0.687,0.694,0.687,0.687,0.687,0.701
China,0.101,0.101,0.205,0.205,0.337,0.382,0.382,0.382,0.382,0.373,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.399,0.399,0.399,0.399,0.402,0.402,0.413,0.413,0.402,0.402,0.402,0.418,0.408,0.429,0.399,0.399,0.39,0.378
Colombia,0.432,0.432,0.432,0.388,0.388,0.388,0.388,0.421,0.454,0.468,0.468,0.44,0.44,0.415,0.415,0.415,0.468,0.468,0.468,0.468,0.468,0.468,0.45,0.45,0.45,0.45,0.45,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.449,0.492,0.51,0.51,0.498,0.498,0.475,0.498,0.485,0.429
"Congo, Dem. Rep.",0.0953,0.0953,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0,0,0.0476,0.0476,0.0476,0.0476,0.0974,0.0974,0.0974,0.0974,0.0974,0.0974,0.0974,0,0.0538,0.132,0.203,0.203,0.203,0.216,0.216,0.216,0.199,0.221,0.221,0.221,0.233,0.233,0.233,0.187,0.187,0.187,0.187,0.204,0.217
"Congo, Rep.",0.188,0.188,0.188,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.21,0.21,0.21,0.21,0.21,0.238,0.436,0.44,0.44,0.44,0.44,0.44,0.263,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.248,0.248,0.248,0.248,0.277,0.328
Costa Rica,0.64,0.64,0.64,0.64,0.64,0.707,0.707,0.707,0.707,0.693,0.693,0.693,0.693,0.693,0.693,0.73,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.68,0.73,0.73,0.694,0.694,0.71
Cote d'Ivoire,0.467,0.467,0.467,0.467,0.467,0.467,0.467,0.467,0.467,0.482,0.482,0.482,0.482,0.482,0.482,0.495,0.495,0.495,0.475,0.475,0.475,0.486,0.474,0.474,0.469,0.468,0.444,0.449,0.449,0.449,0.449,0.436,0.436,0.436,0.449,0.449,0.471,0.494,0.6,0.622,0.622,0.647,0.551,0.566
Croatia,,,,,,,,,,,,,,,,,0.378,0.389,0.389,0.389,0.4,0.425,0.449,0.449,0.451,0.573,0.573,0.573,0.559,0.559,0.545,0.545,0.545,0.545,0.59,0.606,0.606,0.606,0.59,0.585,0.577,0.549,0.56,0.543
Cuba,0.203,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.222,0.222,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.252,0.252,0.252,0.252,0.252,0.252,0.214,0.256,0.256,0.256,0.255,0.255,0.254
Cyprus,0.576,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.613,0.613,0.669,0.669,0.669,0.669,0.716,0.716,0.716,0.716,0.716,0.741,0.741,0.741,0.741,0.681,0.681,0.681,0.681,0.745,0.695
Czech Republic,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.329,0.329,0.329,0.329,0.329,0.341,0.638,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.643,0.65,0.645,0.685,0.685,0.664,0.636,0.643
Denmark,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.932,0.878,0.878,0.869,0.869,0.869,0.869
Dominican Republic,0.307,0.307,0.318,0.33,0.419,0.419,0.419,0.419,0.419,0.424,0.424,0.416,0.372,0.341,0.341,0.341,0.341,0.341,0.301,0.301,0.301,0.394,0.371,0.382,0.382,0.382,0.382,0.382,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.41,0.41,0.41,0.371,0.371,0.343,0.343,0.32,0.266
Ecuador,0.212,0.212,0.265,0.287,0.446,0.472,0.472,0.472,0.472,0.452,0.446,0.446,0.446,0.455,0.473,0.473,0.473,0.473,0.501,0.501,0.501,0.47,0.452,0.493,0.488,0.493,0.493,0.493,0.488,0.488,0.484,0.488,0.546,0.536,0.536,0.463,0.463,0.463,0.521,0.521,0.521,0.521,0.515,0.532
Egypt,0.34,0.34,0.34,0.317,0.317,0.317,0.317,0.328,0.328,0.322,0.339,0.424,0.339,0.339,0.339,0.391,0.391,0.391,0.391,0.285,0.305,0.305,0.305,0.305,0.305,0.302,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.265,0.353,0.284,0.305,0.327,0.327,0.265,0.28
El Salvador,0.0953,0.0953,0.0953,0.0953,0.0131,0.0638,0.0638,0.0638,0.0638,0.0538,0.0538,0.0538,0.0538,0.0538,0.0703,0.122,0.122,0.351,0.377,0.377,0.385,0.385,0.385,0.382,0.382,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.417,0.427,0.427,0.427,0.427,0.427,0.427,0.429,0.408,0.417
Equatorial Guinea,0.0131,0.0131,0.0131,0.0131,0.0131,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.141,0.141,0.141
Eritrea,,,,,,,,,,,,,,,,,,,0.245,0.245,0.245,0.245,0.245,0.214,0.214,0.149,0.0638,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.149
Estonia,,,,,,,,,,,,,,,,,0.552,0.576,0.576,0.606,0.606,0.626,0.656,0.656,0.711,0.718,0.706,0.706,0.706,0.706,0.706,0.732,0.763,0.763,0.793,0.793,0.793,0.793,0.83,0.83,0.83,0.866,0.866,0.866
Eswatini,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.392,0.392,0.392,0.392,0.392,0.365,0.365,0.365,0.365,0.365,0.377,0.377,0.377,0.377,0.377,0.307,0.307,0.307,0.307,0.307,0.307,0.3,0.3,0.281,0.281,0.281,0.281,0.334,0.449
Ethiopia,0.127,0.127,0.127,0.127,0.127,0.144,0.161,0.161,0.161,0.161,0.134,0.134,0.134,0.134,0.134,0.269,0.44,0.406,0.406,0.406,0.406,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.435,0.435,0.435,0.412,0.412,0.4,0.375,0.354,0.483
Finland,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.888,0.915,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.897,0.897,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,1,0.837,0.837,0.825,0.825,0.787,0.857
France,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.869,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.855,0.855,0.878,0.878,0.878,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.855,0.789,0.789,0.789,0.789,0.737,0.709
Gabon,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.404,0.396,0.419,0.419,0.419,0.419,0.419,0.505,0.533,0.533,0.533,0.533,0.533,0.533,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.489,0.489,0.489,0.489,0.489,0.489,0.527,0.527,0.537,0.571,0.571,0.571,0.571,0.568,0.567
Gambia,0.58,0.58,0.571,0.571,0.571,0.571,0.531,0.531,0.531,0.531,0.569,0.55,0.55,0.55,0.55,0.55,0.55,0.563,0.563,0.442,0.314,0.314,0.339,0.339,0.339,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.284,0.272,0.284,0.28,0.511,0.538
Georgia,,,,,,,,,,,,,,,,,0.258,0.194,0.25,0.276,0.297,0.281,0.281,0.297,0.297,0.297,0.297,0.297,0.297,0.53,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.531,0.586,0.586,0.582,0.631,0.631,0.634
Germany,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.923,0.898,0.923,0.923,0.898,0.923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0.875
Ghana,0.286,0.286,0.286,0.286,0.37,0.403,0.37,0.306,0.298,0.283,0.287,0.305,0.305,0.305,0.33,0.312,0.322,0.335,0.453,0.459,0.459,0.459,0.432,0.432,0.432,0.477,0.477,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.487,0.49,0.49,0.515,0.457,0.457,0.441,0.459,0.467,0.453
