country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bulgaria,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.257,0.747,0.747,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.76,0.735,0.737,0.761,0.761,0.761,0.761,0.761,0.731,0.74,0.74,0.749,0.694,0.713,0.72,0.72,0.712,0.729
Burkina Faso,0.0494,0.0494,0.00428,0.436,0.436,0,0,0,0,0,0,0,0,0,0,0,0.0494,0.286,0.422,0.422,0.422,0.422,0.422,0.422,0.473,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.485,0.485,0.485,0.527,0.552,0.566,0.553,0.544,0.544
Burundi,0,0,0,0,0,0,0,0.423,0.423,0.423,0.423,0.423,0,0,0,0,0,0.00428,0.492,0.492,0.481,0.467,0.467,0.473,0.473,0.473,0.481,0.475,0.475,0.475,0.48,0.48,0.48,0.48,0.48,0.456,0.456,0.456,0.446,0.446,0.381,0.366,0.366,0.322
Cambodia,0.00428,0,0.23,0.23,0.239,0.303,0.303,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.35,0.377,0.377,0.377,0.364,0.369,0.369,0.369,0.369,0.369,0.383,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.35,0.35,0.35,0.35,0.295,0.295
Cameroon,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.41,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.418,0.418,0.418,0.418,0.418,0.414,0.414,0.414,0.414,0.414,0.414,0.414,0.439,0.389,0.389,0.389,0.408,0.408,0.399
Canada,0.736,0.736,0.736,0.736,0.736,0.747,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.724,0.724,0.724,0.724,0.735,0.735,0.747,0.747,0.747,0.747,0.762,0.762,0.762,0.747,0.747,0.747,0.747,0.696,0.68
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0.425,0.425,0.425,0.425,0.44,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.0494,0.527,0.51,0.51,0.51,0.51,0.51,0.51,0.517,0.517,0.562,0.562,0.572,0.583,0.578,0.624
Chad,0,0,0,0.00428,0.00428,0.00428,0.00428,0.287,0.287,0.287,0.276,0.276,0.276,0.276,0.262,0,0.00428,0.0494,0.354,0.354,0.354,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.294,0.313,0.294,0.324,0.324,0.324,0.324,0.302,0.264
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494,0.0545,0.778,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.817,0.818,0.841,0.841,0.841,0.867,0.867,0.867,0.789,0.818,0.841,0.841,0.841,0.824
China,0.248,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.275,0.285,0.275,0.275,0.275,0.271,0.256,0.325,0.283,0.283,0.283,0.283,0.283,0.29
