country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Poland,,,,,,,,71.8,71.5,69.7,68.4,70.6,71.6,72.8,74.3,,,78.7,,,,
Romania,,,,,,,,,,,61.7,,,69.6,67.7,,,,,,,
Russia,,,,,,,,,,,,,,,,,25.8,26.8,26.3,27.8,,
Rwanda,,,,,,,,8.33,,,,,9.19,,,4.24,,,,,,
Samoa,,,,,,,,,,,18.7,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,13.3,,,,,,,,
Serbia,,,,,,,,,,48.5,,,58,,,56.5,,57.1,,,,
Slovak Republic,,,,,,,,,,,,46.4,,,,,,,,,,
Solomon Islands,,,,,,,,14.6,,,,,,,,,,,,,,
South Africa,,,,,,,,38.9,,,,,,,,,44.2,,,,,
Sri Lanka,,,,,,,,,36.6,,,34.9,,,32.1,,,,34.8,,,
Syria,,,,,,67.6,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,8,,,,,,,,
Tanzania,,,,,,,,,,,,,13.5,,19.6,,17.2,,,,,
Thailand,,,,,,,,,3.77,,,65.7,,81.8,,76.2,,,,,,
Timor-Leste,,,,,,,,,,,,,,32.8,,,,,,,,
Togo,,,,,,,,,,,,,,28.5,,,,,,,,
Tonga,,,,,,,,,,,,29.1,,,,,,,,,,
Turkey,,,,,,,41.9,43.1,42.5,43.4,41.3,40.4,42.6,41.5,42.5,42.2,42.7,42.9,44.7,,,
Uganda,,,,,,,,23.2,,,,15.4,,,19.1,,,,,,,
Ukraine,,,,,,,,,46.2,,,,,52.8,58.1,59,,44,32.5,,,
Uruguay,,,,,,,,,,,44.2,44.7,45.8,44.6,44.2,,,45.9,47.1,47.2,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,29.3,
Vietnam,,,,,,,,,31.1,,,,24.9,,28.3,,28.9,,,,,
Yemen,,,,,,,,13.7,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,34,,,,,3.4,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,29.3,,15.9
