country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Paraguay,,,,,,,,,,5.08,5.7,6.68,5.9,6.31,14.2,5.05,5.48,5.29,5.43,5.4,,
Peru,,,,,,,,,,,10.5,9.72,11.3,11.1,12.2,11.5,11.5,10.4,10.5,10.4,,
Philippines,,,,,,,,,7.47,,,,,,,11.1,,8.92,,,,
Poland,,,,,,,,48.4,47.9,47,46.4,45.8,45.4,45,43.8,,,43.9,,,,
Romania,,,,,,,,,,,48.7,,,47.2,46.9,,,,,,,
Russia,,,,,,,,,,41.9,,,,,,,54.7,54,56.3,56.4,,
Rwanda,,,,,,,,0.773,,,,,0.918,,,10.8,,,,,,
Samoa,,,,,,,,,,,33.6,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,8.32,,,,,,,,
Serbia,,,,,,,,,,55.2,,,58.6,,,56.4,,52.1,,,,
Slovak Republic,,,,,,,,,,,,49.7,,,,,,,,,,
Solomon Islands,,,,,,,,1.21,,,,,,,,,,,,,,
South Africa,,,,,,,,2.81,,,,,3.41,,,,3.35,,,,,
Sri Lanka,,,,,,,,,6.29,,,6.63,,,7.4,,,,7.84,,,
Syria,,,,,,8.19,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,34.1,,,,,,,,
Tanzania,,,,,,,,,,,,,0.964,,1.34,,1.29,,,,,
Thailand,,,,,,,,,14.7,,,14.8,,14.5,,14.4,,,,,,
Timor-Leste,,,,,,,,,,,,,,1.24,,,,,,,,
Togo,,,,,,,,,,,,,,3.01,,,,,,,,
Tonga,,,,,,,,,,,,1.29,,,,,,,,,,
Turkey,,,,,,,29.4,31,30.8,32.4,34.6,33.1,33.5,34.2,35.4,36.5,37.1,36.5,36.1,,,
Uganda,,,,,,,,0.963,,,,0.861,,,0.881,,,,,,,
Ukraine,,,,,,,,,50.7,,,,,51.9,51.1,51.1,,51.4,50.3,,,
Uruguay,,,,,,,,,,,37.4,35.9,36.5,36.2,36.7,,,35.2,35.4,35.2,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,20.1,
Venezuela,,,,,,,,,10.2,,,,,,,,,,,,,
Vietnam,,,,,,,,,17.2,,,,14.1,,14.4,,15.2,,,,,
Yemen,,,,,,,,10.3,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,1.05,,,,,0.924,,,,
Zimbabwe,,,,,,,,,,1.21,,,,2.66,,,,,,3.41,,4.81
