country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,10.9,,,,7.09,,,,,,,,
Albania,,,,,,,,,,,26.6,,,,15.1,,,,,,,
Argentina,,,,,,,,,3.38,,,,3.86,13.8,11.7,6.65,4.55,,4.16,4.93,6.84,
Armenia,,,,,,,,,,,16.6,17.9,18.3,16.5,19.3,21.9,23.3,24.6,25.6,31.2,,
Azerbaijan,,,,,,,,,,,,,,,,,,24.9,,,,
Bangladesh,,,,,,,,7.89,,,,,9.85,,,,,,35,,,
Belarus,,,,,,,,,,,56.8,53.3,57.6,,53.4,49.3,50.2,50,50.5,,,
Belize,,,,,,,,,,,,16.3,,,,,,,,,,
Bhutan,,,,,,,,,,0.698,,,,,1.52,,,,,,,
Bolivia,,,,,,,,,14,50.7,66.6,74.1,,69.1,70.3,,73.5,70.7,74.8,70.9,,
Bosnia and Herzegovina,,,,,,,,,,20.9,,,,,,,,13.3,,,,
Botswana,,,,,,,,,,,,67.5,,,,,,43,,,,
Brazil,,,,,,,,,7.46,,,15.3,,15.6,16.2,,,7.27,5.68,5.14,5.38,
Bulgaria,,,,,,,,,,35.4,,,,,,,,,,,,
Burkina Faso,,,,,,34.2,,,,,,,,,,,2.88,,,,,
Cameroon,,,,,,,,,,1.57,,,,,,,1.1,,,,,
Cape Verde,,,,,,,,,,17.8,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,0.371,,,,,,,,
Chile,,,,,,,,,71.5,,,73.4,,72.6,,70.7,,65.5,,80.3,,
China,,,,,,,,,,,,,,,,31.2,,,,,,
Colombia,,,,,,,,,,,,,34.6,35.5,31.2,,47.8,11.7,9.31,9.52,8.61,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,11.3,,,,,,,
"Congo, Rep.",,,,,,,,0.505,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,43.7,43.4,33.9,32.3,32.9,,29.6,36.6,38.4,39.8,,
Cote d'Ivoire,,,,,6.34,,,,,,24.7,,,,,,,22.7,,,,
Croatia,,,,,,,,,,,14.5,,14.7,10.3,,,15,,,,,
Djibouti,,,,,3.89,,,,,,,,,,2.05,,,,,,,
Dominica,,,,,2.93,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,8.34,14.3,17.8,22.3,22.1,31.1,25.8,26.5,18.4,42.9,,,
Ecuador,,,,,,,,,,,46.3,,55.4,29,60,,64.6,60,59.3,61.1,,
Egypt,,,,,,,,,,,46.5,,,,,,,,,,,
El Salvador,,,,,,,,,,18.7,23.3,32.1,48.7,44.7,47.5,,47.6,88.8,89.2,83.4,,
Eswatini,,,44.7,,,,,,,,,44,,,,,,,77.5,,,
Ethiopia,,,,,,,0.23,,,,,,12.9,,,,,20.7,,,,
Fiji,,,,,,,,,,,8.11,,,,,26.4,,,,,,
Gabon,,,,,,,,43.6,,,,,,,,,,,,,,
Gambia,2.7,,,,,,,,,,,,6.59,,,,,,,,,
Georgia,,,,,,,,,,,,,,58.2,,,,,9.28,,,
Ghana,,,,,,,,0.968,,,,,,,1.53,,,,9.4,,,
Guatemala,,,,,,,,,41.9,,,,,53.4,,,55.8,,,,,
Guinea,,,,,,,,,,,,,,,1.8,,,,,,,
Haiti,,,,0.626,,,,,,,,,,,17.5,,,,,,,
Honduras,,,,,,,,,,,42.2,43.9,42.8,40.4,,46,,34.3,24.2,30,,
Hungary,,,,,,,,,,49.5,,,,,,,,,,,,
India,,,,,,,22.7,,,,,16.4,,92.6,,,,,,,,
Indonesia,,,,,,,,,,,,29.5,,37.7,42,,45.5,35.9,,32.7,,
Iraq,,,,,,,,,78.1,,,,,,72.4,,,,,,,
Jamaica,,,,,18.2,,,,,,,,45.1,,,,,,,,,
Jordan,,,,,,,,,80.5,,,,61.1,,,,,,,,,
Kazakhstan,,,,,,,,,,23.9,,,28,,,,61.6,25,,,,
Kenya,,,,,,,,13.9,,,,,,,,,,24.5,,,,
Kiribati,,,,,,,,,4.88,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,3.15,,,,,5.27,4.65,5.13,,,,,,
Latvia,,,,,,,,,,,40.9,44.1,,,,,,,,,,
Lebanon,,,,,,,5.69,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,4.41,,,,,,,62.7,,
Liberia,,,,,,,,,,54.1,,,,,,,9.7,,11.1,,,
Lithuania,,,,,,,,,,,55.7,,,,,,,,,,,
Malawi,,,,,,,49.4,,,,,,20.2,,,41.8,,,39.3,,,
Malaysia,,,,,,,,,,,78.6,,,,72.1,,87.1,,65.4,,,
Maldives,,,,,,,1.12,,,,,25.2,,,,,,,19.9,,,
Mauritania,,,,,,,,,,,34.7,,,,,,46.7,,,,,
Mauritius,,,,,,,,,38.9,,,,,,42.5,,,,,,,
Mexico,,,,,,,,,,,10.4,,20.8,,21.4,,23.4,,19.6,,17.3,
"Micronesia, Fed. Sts.",,,5.01,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,34.4,,27.7,22,,,,,,
Mongolia,,,,,,,,,,79.7,,80,93.9,99.6,100,,82.4,,82.1,,,
Montenegro,,,,,,,,,,,,,,1.04,2.93,3.79,4.65,,,,,
Morocco,,,,,,,,,,,,32.5,,,,,,,,,,
Mozambique,,,,,,,,,,,4.38,,,,,,1.57,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,7.53,,
Namibia,,,,,,5.38,,,,,,8.97,,,,,,35.5,,,,
Nepal,,,,,,,,,,,,,36.7,,,,,,,,,
Nicaragua,,,,,,,,38.1,,,,32,,,,,55.9,,,,,
Niger,,,,,,,,,,,,,,2.22,,,20.5,,,,,
Nigeria,,,,,,,,,,,,,0.934,,3.21,,,4.18,,,,
Pakistan,,,,,,,,,,3.33,,12,,,,7.12,,5.04,,,,
Palau,,,,,,,,,0.715,,,,,,,,,,,,,
Palestine,,,,,,,,,,8.02,,6.03,,,,,,,,,,
Panama,,,,,,,,,,,39.7,37.9,39.3,34.1,37.7,39.8,39.1,53.2,53.1,52.9,55.9,
Papua New Guinea,,,,,,,,,,,,4.09,,,,,,,,,,
Paraguay,,,,,,,,,,26.7,27.5,31.1,39.7,38,51.2,49,48.7,59.4,54.7,56.1,,
Peru,,,,,,,,,,,25.3,45.4,48.6,45.2,85.6,38.7,41.5,40.3,39.9,41.2,,
Philippines,,,,,,,,,,,,,,,,10.9,,17.7,,,,
Poland,,,,,,,,40.5,40,38.9,35.2,33.4,31.1,31.5,31.1,,,23.8,,,,
Romania,,,,,,,,,,,46,,,52.7,52.5,,,,,,,
Russia,,,,,,,,,,19.6,,,,,,,65.5,63.9,64.8,61.4,,
Rwanda,,,,,,,,2.77,,,,,22.3,,,21.4,,,,,,
Senegal,,,,,,,,,,,,,,8.33,,,,,,,,
