country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,0.582,,,,,,,,,,,,
Albania,,,,,,,,,,,43.7,,,,36.5,,,,,,,
Argentina,,,,,,,,,28,,,,32.6,28.4,27.6,35.6,38.8,,39.4,38.6,37.3,
Armenia,,,,,,,,,,,49.4,49.7,53.6,55.1,52.4,52.1,55.1,52.3,47.8,54.6,,
Azerbaijan,,,,,,,,,,,,,,,,,,46.8,,,,
Bangladesh,,,,,,,,1.73,,,,,1.73,,,,,,0.951,,,
Belarus,,,,,,,,,,,46.6,41.1,47.1,,51,48.4,56.6,54.4,55.9,,,
Belize,,,,,,,,,,,,29.3,,,,,,,,,,
Benin,,,,,,7.19,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,1.2,,,,,0.727,,,,,1.42,,
Bolivia,,,,,,,,,13.1,13.9,12.2,9.95,,11.7,11.3,,10.1,49.4,12.1,10.5,,
Bosnia and Herzegovina,,,,,,,,,,43.8,,,,,,,,40.9,,,,
Botswana,,,,,,,,,,,,,,,,,,5.25,,,,
Brazil,,,,,,,,,40.4,,,37.3,,37.5,36.6,,,38.5,39.5,40.5,40,
Bulgaria,,,,,,,,,,46.1,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,3.37,,,,,
Cambodia,,,,,,,,,,,2.04,,,,,2.61,,,,,,
Cameroon,,,,,,,,,,3.58,,,,,,,4.85,,,,,
Cape Verde,,,,,,,,,,7.85,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,3.35,,,,,,,,
Chile,,,,,,,,,36.8,,,42.1,,28.8,,47.2,,48.5,,49.6,,
China,,,,,,,,,,,,,,,,38.8,,,,,,
Colombia,,,,,,,,,,,,,13.8,13,12.8,,13.4,15,15,14.8,15.3,
Comoros,,,,,,,1.55,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,1.57,,,,,,,,1.59,,,,,,,
"Congo, Rep.",,,,,,,,10.3,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,15.8,20.1,16.8,19,17.7,,19.9,20.8,21.5,23.8,,
Cote d'Ivoire,,,,,19.3,,,,,,9.6,,,,,,,8.46,,,,
Croatia,,,,,,,,,,,56.9,,58,60.1,,,55,,,,,
Djibouti,,,,,,,,,,,,,,,8.47,,,,,,,
Dominica,,,,,13.8,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,6.5,4.84,6.36,6.94,6.56,7.65,6.81,7.35,8.13,8.34,,,
Ecuador,,,,,,,,,,,8.86,,12.2,11.9,13.5,,12,12.5,13.2,13.2,,
Egypt,,,,,,,,,,,23.4,,,,,,,,,,,
El Salvador,,,,,,,,,,6.29,10.5,7.17,5.92,6.46,6.02,,7.5,5.82,6.92,5.69,,
Eswatini,,,,,,,,,,,,,,,,,,,9.25,,,
Ethiopia,,,,,,,,,,,,,,,,,,3.04,,,,
Fiji,,,,,,,,,,,5.47,,,,,11.4,,,,,,
Gabon,,,,,,,,15.2,,,,,,,,,,,,,,
Gambia,4.2,,,,,,,,,,,,2.26,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,63.8,,,
Ghana,,,,,,,,4.84,,,,,,,63.6,,,,50.8,,,
Guatemala,,,,,,,,,5.72,,,,,4.44,,,4.84,,,,,
Guinea,,,,,,,,,,,,,,,3.22,,,,,,,
Haiti,,,,,,,,,,,,,,,0.449,,,,,,,
Honduras,,,,,,,,,,,2.34,2.43,3.36,2.66,,2.35,,2.95,3.08,2.52,,
Hungary,,,,,,,,,,59.1,,,,,,,,,,,,
India,,,,,,,,,,,,,,14.9,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,12,10.6,,11.2,,
Iraq,,,,,,,,,29.5,,,,,,28,,,,,,,
Jamaica,,,,,5.77,,,,,,,,6.49,,,,,,,,,
Jordan,,,,,,,,,27.4,,,,31.6,,,,,,,,,
Kazakhstan,,,,,,,,,,31.7,,,28.1,,,,1.07,28.9,,,,
Kenya,,,,,,,,2.56,,,,,,,,,,1.48,,,,
Kyrgyz Republic,,,,,,,,,32,,,,,39.3,39,38.7,,,,,,
Lao,,,,,,,,,,1.88,,,,,,,,,,,,
Latvia,,,,,,,,,,,51.9,45.3,,,,,,,,,,
Lebanon,,,,,,,66.1,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,2.01,,
Liberia,,,,,,,,,,0.759,,,,,,,,,0.654,,,
Lithuania,,,,,,,,,,,42.7,,,,,,,,,,,
Malawi,,,,,,,1.32,,,,,,0.786,,,0.667,,,0.754,,,
Malaysia,,,,,,,,,,,8.42,,,,9.1,,9.81,,10.5,,,
Maldives,,,,,,,5.05,,,,,6.84,,,,,,,4.36,,,
Mali,,,,,,,,,,,,1.35,,,,,,,,,,
Marshall Islands,,26.5,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,8.82,,,,,,,,,,,
Mauritius,,,,,,,,,4.08,,,,,,22.8,,,,,,,
Mexico,,,,,,,,,,,68.6,,66.1,,63.6,,55,,18.6,,17.5,
"Micronesia, Fed. Sts.",,,22.9,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,42.7,,44.8,45.2,,,,,,
Mongolia,,,,,,,,,,41.8,,43.3,43.2,40,43.5,,44.6,,44.7,,,
Montenegro,,,,,,,,,,,,,,62.6,44.6,51.8,48.5,,,,,
Mozambique,,,,,,,,,,,1.78,,,,,,4.44,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,6.63,,
Namibia,,,,,,,,,,,,1.66,,,,,,4.23,,,,
Nepal,,,,,,,,,,,,,6.43,,,,,,,,,
Nicaragua,,,,,,,,31.2,,,,9.26,,,,,18.7,,,,,
Niger,,,,,,,,,,,,,,2.18,,,1.6,,,,,
Nigeria,,,,,,,,,,,,,,,1.43,,,2.78,,,,
Pakistan,,,,,,,,,,7.55,,11.1,,,,7.39,,8.34,,,,
Palau,,,,,,,,,33.2,,,,,,,,,,,,,
Panama,,,,,,,,,,,22.6,25.8,25.4,23.9,22.5,20.4,23.9,25,23.9,25.4,27.6,
Papua New Guinea,,,,,,,,,,,,0.933,,,,,,,,,,
Paraguay,,,,,,,,,,5.05,6.42,10.5,8.33,7.92,20.8,7.08,9.38,6.68,6.91,6.11,,
Peru,,,,,,,,,,,14.3,14,15.8,15.3,18.2,16.3,15.7,14,13.8,15.2,,
Philippines,,,,,,,,,10.1,,,,,,,13.9,,11.1,,,,
Poland,,,,,,,,55,53.1,51.1,48.6,50.2,48.4,47.9,48,,,46.6,,,,
Romania,,,,,,,,,,,53.6,,,54.6,52.5,,,,,,,
Russia,,,,,,,,,,39.6,,,,,,,55.1,56.6,56.4,56,,
Rwanda,,,,,,,,0.899,,,,,0.877,,,8.04,,,,,,
Samoa,,,,,,,,,,,31.4,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,11.5,,,,,,,,
Serbia,,,,,,,,,,56.9,,,59.5,,,60,,53,,,,
Slovak Republic,,,,,,,,,,,,60,,,,,,,,,,
Solomon Islands,,,,,,,,0.756,,,,,,,,,,,,,,
South Africa,,,,,,,,3.03,,,,,3.57,,,,3.68,,,,,
Sri Lanka,,,,,,,,,8.45,,,9.65,,,10.4,,,,10.2,,,
Syria,,,,,,8.98,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,34.3,,,,,,,,
Tanzania,,,,,,,,,,,,,1.4,,1.55,,1.61,,,,,
Thailand,,,,,,,,,18.6,,,20.3,,17.7,,18,,,,,,
Timor-Leste,,,,,,,,,,,,,,0.118,,,,,,,,
Togo,,,,,,,,,,,,,,3.35,,,,,,,,
Tonga,,,,,,,,,,,,2.72,,,,,,,,,,
Turkey,,,,,,,36.6,40.9,36.2,39.1,42.4,40.2,39.6,42.6,42.5,43.1,41.5,42.6,43.9,,,
Uganda,,,,,,,,1.01,,,,0.683,,,0.679,,,,,,,
Ukraine,,,,,,,,,52.5,,,,,52.1,50,54.8,,54.5,52.8,,,
Uruguay,,,,,,,,,,,44.5,42.7,44,42.5,41.4,,,40.8,40.3,41.7,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,20.7,
