country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,0.411,0.411,0.411,0.411,0.411,0.428,0.428,0.428,0.428,0.427,0.43,0.47,0.47,0.611,0.611,0.611,0.611,0.611,0.608,0.608,0.608,0.608,0.606,0.606,0.606,0.606,0.606,0.604,0.604,0.606,0.673,0.673,0.673,0.673,0.673,0.673,0.673,0.717,0.691,0.68,0.68,0.606,0.592,0.606
Bulgaria,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.327,0.327,0.327,0.327,0.327,0.327,0.491,0.525,0.617,0.617,0.617,0.617,0.617,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.608,0.613,0.613,0.605,0.559,0.559,0.575,0.6,0.611,0.637,0.602,0.602,0.551
Burkina Faso,0.483,0.483,0.496,0.496,0.496,0.5,0.51,0.51,0.51,0.51,0.508,0.508,0.508,0.457,0.457,0.384,0.381,0.386,0.386,0.39,0.39,0.39,0.39,0.39,0.39,0.449,0.449,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.455,0.455,0.455,0.483,0.522,0.527,0.522,0.513,0.467
Burundi,0.408,0.414,0.414,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.42,0.42,0.42,0.42,0.42,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.345,0.345,0.345,0.345,0.345,0.337,0.337,0.337,0.223,0.223,0.223,0.197,0.162,0.162
Cambodia,0.102,0.102,0.102,0.102,0.102,0.0963,0.0963,0.0963,0.0963,0.0963,0.0963,0.0963,0.0963,0.0963,0.0963,0.0963,0.106,0.106,0.29,0.315,0.315,0.315,0.315,0.245,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.234,0.234,0.234,0.193,0.16,0.198
Cameroon,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.151,0.149,0.155,0.155,0.155,0.155,0.155,0.198,0.194,0.194,0.194,0.194,0.198,0.198,0.198,0.198,0.198,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.263,0.263,0.263,0.228,0.228,0.228,0.225,0.225,0.182
Canada,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.749,0.749,0.749,0.749,0.749,0.691,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.749,0.739,0.739,0.745,0.784,0.784,0.784,0.784,0.784,0.709,0.709,0.709,0.698
Central African Republic,0.255,0.223,0.203,0.203,0.219,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.319,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.329,0.318,0.318,0.329,0.375,0.375,0.367,0.387,0.397
Chad,0.403,0.384,0.384,0.384,0.384,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.245,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.302,0.35,0.321,0.321,0.287,0.287,0.287,0.247,0.247,0.247,0.247,0.269,0.269
Chile,0.392,0.392,0.392,0.392,0.392,0.403,0.403,0.403,0.403,0.406,0.408,0.408,0.408,0.408,0.377,0.631,0.739,0.739,0.739,0.739,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.739,0.739,0.739,0.838,0.838,0.795,0.795,0.795,0.586
China,0.249,0.249,0.249,0.257,0.27,0.27,0.27,0.27,0.27,0.268,0.271,0.271,0.271,0.271,0.271,0.271,0.271,0.274,0.276,0.276,0.276,0.276,0.276,0.276,0.276,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.281,0.281,0.279,0.279,0.229,0.229,0.224,0.224,0.255,0.255
Colombia,0.481,0.488,0.488,0.492,0.49,0.49,0.49,0.49,0.492,0.483,0.483,0.483,0.483,0.483,0.483,0.489,0.591,0.577,0.579,0.579,0.581,0.581,0.581,0.581,0.581,0.579,0.579,0.579,0.579,0.579,0.594,0.594,0.594,0.594,0.596,0.596,0.596,0.612,0.555,0.562,0.562,0.573,0.561,0.485
"Congo, Dem. Rep.",0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.162,0.155,0.155,0.155,0.155,0.155,0.155,0.274,0.272,0.272,0.272,0.274,0.274,0.274,0.204,0.27,0.27,0.346,0.346,0.346,0.352,0.354,0.354,0.34,0.32,0.32,0.32,0.322,0.322,0.322,0.321,0.321,0.321,0.321,0.312,0.341
"Congo, Rep.",0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.185,0.185,0.185,0.185,0.185,0.306,0.434,0.434,0.434,0.434,0.437,0.437,0.215,0.211,0.211,0.211,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.194,0.218,0.218,0.218,0.255,0.255,0.255,0.255,0.255,0.277
