country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,0.258,,,,,,,,,,,,
Albania,,,,,,,,,,,50.2,,,,34.3,,,,,,,
Argentina,,,,,,,,,25.4,,,,36.8,27.2,26.7,35.5,31.6,,33.7,34.1,34.5,
Armenia,,,,,,,,,,,48,49.7,52.4,52.3,55.1,51.4,52.2,51.2,49.5,57,,
Azerbaijan,,,,,,,,,,,,,,,,,,49.6,,,,
Bangladesh,,,,,,,,1.33,,,,,1.11,,,,,,0.618,,,
Belarus,,,,,,,,,,,45.6,46.4,45.7,,52.9,48.3,46.2,48,53.8,,,
Belize,,,,,,,,,,,,27,,,,,,,,,,
Benin,,,,,,6.62,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,1.39,,,,,0.758,,,,,0.853,,
Bolivia,,,,,,,,,5.41,4.53,6.15,10.1,,8.07,8.46,,7.42,59,6.97,6.72,,
Bosnia and Herzegovina,,,,,,,,,,41.9,,,,,,,,41.5,,,,
Botswana,,,,,,,,,,,,,,,,,,3.19,,,,
Brazil,,,,,,,,,33.3,,,32.6,,33.2,34,,,35.9,33.7,33.6,34.3,
Bulgaria,,,,,,,,,,52.9,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,0.991,,,,,
Cambodia,,,,,,,,,,,2.47,,,,,1.94,,,,,,
Cameroon,,,,,,,,,,2.1,,,,,,,3.44,,,,,
Cape Verde,,,,,,,,,,5.84,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,2.51,,,,,,,,
Chile,,,,,,,,,35.7,,,45.5,,27.7,,50.4,,47.1,,50.7,,
China,,,,,,,,,,,,,,,,32.9,,,,,,
Colombia,,,,,,,,,,,,,6.37,4.99,4.39,,6.02,7.52,7.62,6.95,7.44,
Comoros,,,,,,,2.68,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,0.964,,,,,,,,1.29,,,,,,,
"Congo, Rep.",,,,,,,,10.3,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,13,20.1,13.6,13.6,14.2,,15,16.5,18,18,,
Cote d'Ivoire,,,,,20.1,,,,,,7.67,,,,,,,7.24,,,,
Croatia,,,,,,,,,,,51.8,,55.2,53.4,,,50.5,,,,,
