country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guinea,,18.8,22.3,,25.1,31.3,33.8,34.5,36.3,38.2,39,43.2,,,49.1,,48.6,,58.6,,,
Guinea-Bissau,,,,,,,,,,,,,40.1,,,,,,,,,
Guyana,,,,,,,,,,58.7,,,,68.7,66.6,,,,,,,
Honduras,,,47.3,,,48.4,54.7,,60.4,,54.5,58.3,58.5,63.2,64.4,61.5,64.7,65.2,68.9,69.7,,
Hungary,,,,,,,,,,,,,,,,,,62.3,60.6,60.1,,
Iceland,98.4,98,98,94.4,91.3,95.3,94.5,97.6,,,,97.2,98.1,,,97.1,97.4,98.9,,,,
India,,,,,,,,,,,,,,,,,57.4,59.2,,,,
Indonesia,,,,44.3,45.8,38.2,37.1,,38.4,42.2,39.2,38.7,37.8,35.3,31.7,,,,42.5,43.5,40.5,
Iran,,,,,,88.8,,,94,91.4,,81.5,81.7,81.4,,,99.5,,99.8,100,,
Iraq,,84.4,81,,,,85.7,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,59.3,61.1,63,65.2,66.6,,
Israel,,,,,,,,,,,,,,,,82.9,82.1,84.8,,84.9,,
Jamaica,,,,,,,,,,,,,,,,,,69.5,72.2,,67.8,
Jordan,,63.5,65.3,,66.2,65.2,61.5,,,,,,,,,,,,,79.4,78.9,
Kazakhstan,,,66.1,64.8,67.3,64.5,63.2,62.4,60.1,57.2,52.7,,,,,,,,,44.9,47.1,46.8
Kenya,,26.8,,,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,73.4,,82.1,,
Kuwait,,63.4,64.7,67.8,71.5,65.6,65.6,56.4,,59.1,66.7,,,,63.2,62.5,,,58.4,56.2,,
Kyrgyz Republic,,58.1,58.2,60.5,62.8,64.3,60.5,58.9,62.4,61.5,60.4,59,61.6,61.3,60.9,56.8,56,55.7,58,57.9,,
Lao,,50.8,54.7,54.8,57.8,58.4,59.9,61.9,65,72,73.9,79.3,86.4,86.3,90,93.8,93.4,90.4,89.9,90.5,90.2,
Lesotho,16,25.1,55.1,51,49.8,53.1,56.7,55.5,56.4,57.1,57.2,59.6,66.9,67,65.3,63.9,66.5,70.7,70.6,,,
Liberia,,,,,,,,,,,6.92,7.67,,6.67,,,,,,,,
Liechtenstein,,,,,,63.5,53.5,,54.6,58.4,61.5,60.5,55.2,62.2,59.4,57.9,,46,,,,
Lithuania,,,,,,,,,,,,,,,,,93,94.1,94.7,95,,
Luxembourg,,,,86.1,,,,,,,,,88,85.5,,87.6,88.1,86.8,86.9,88,,
Madagascar,,,,,,62.3,,70.5,80.8,82.5,80.4,,80.1,78.6,76.7,,,76.6,74,,70.7,
Malawi,,,,,,,,,67.4,75.1,77.1,79,81.2,79,84.5,,,,,,81.9,
Malaysia,,,,,,,,,,,,,,,,99.9,,99.5,99.3,99.8,,
Maldives,,79,84.4,86,84.3,,,,,74.8,69.3,,,,,,,,,89.9,,
Mali,,,,,,26.1,26.1,26.2,27.6,25.2,26.5,21.3,19.7,19.8,16.8,,,16.8,17.3,22,,
Malta,,,,,,,,,71.3,69.5,,,,,,98.1,,,93.8,97,,
Marshall Islands,,,,,,,,,,,,,,96.5,,,,,60.7,,,
Mauritania,,,,28.8,,35.2,40.3,35.9,36.2,35.6,35.8,34.5,33.3,36,37.7,36.7,42.1,51.8,,36.9,36.7,
Mauritius,74.7,,,61.4,,,,,,82.3,82,83.1,83.5,86,69.8,83.6,80.9,78.2,76.8,81.9,,
Mexico,,86.1,86.2,86.8,88.4,88.8,86.5,86.7,87.1,86.7,,,74.8,,,70.9,71.2,72,,71.1,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,52.8,70,,,,
Moldova,,,,,,,,72.6,70.8,75.9,75.9,74.4,76.9,76,75.9,74.5,73.8,74.6,75.1,76,76.4,
Mongolia,,81.6,75,73.6,63.5,67.9,60,,77.9,72,,81.4,87.6,87.3,84.7,83.3,90.7,91.4,91.6,,93.6,
Montenegro,,,,,,,,,,,,,,,,,,94.3,92.2,89.9,84.9,
Morocco,,50.3,60.7,69.6,78.6,81,82.5,85,84.6,85.6,74.3,,72.8,73.4,,72.7,73.6,,77.9,80.4,81.1,
Mozambique,14.2,18.1,21.8,24.9,24.6,,44.1,45.7,51,55.8,57.9,60.6,63.2,63.2,64.9,72.5,76.2,75.9,,,,
Namibia,61.1,60.9,62.7,64.6,62.8,62.8,59.5,62.2,58.7,,58.6,55.2,57.4,,,,,,,,,
Nauru,100,,,,,,,,,,,,,,82,,83,,,,,
New Zealand,,,,,,,,,,,,,,,,95.6,94.5,95.8,95,94.6,,
Nicaragua,,41.3,42.4,42,43,,40.8,42,70.2,73.9,68.4,,65.5,,,,,,,,,
Niger,,26.5,28.4,30.5,37.6,40.2,37.9,35.5,42.7,41.1,49.6,55.3,59.8,61,59,59.8,58,60.5,56.6,59.6,50,
North Korea,,,,,,,,,,,,92.1,,,,,,,,,,
North Macedonia,,,,,71.9,,,,,,,82.2,,,,82.4,81.9,,,,,
Norway,,,,,,,,,,,,,,,,99.3,99.2,99.2,99.3,99.2,,
Oman,,71,71.7,69.8,69.2,63.4,,,,,,64.8,,75.6,76.6,,,,,53.3,55.3,
Pakistan,,,,,,,,,,,,,,,,,81.2,84.2,91.6,90.4,,
Palestine,,,73.4,69.5,68.3,63.7,61.3,63,63.8,64.8,74.3,76,77.8,79.3,84.8,,,,,,,
Panama,,,,,,,,,,,,,,,,,,72,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,30.4,,,
Paraguay,,,,72.1,71.2,70.6,,69.3,68,66.8,68.2,72.4,71.9,72.3,68.7,,,,,,,
Peru,,,,,81.5,,77.9,78.3,79.3,78.3,77.6,,86.2,87.1,74.7,72.4,,83,94.7,95.8,97.9,
Philippines,,44.9,,45.4,44.6,44.9,45.7,45.5,41.7,45.5,46.9,,,,,,75.5,85.1,81.1,65.1,,
Portugal,,,,,,,89.8,95.2,94.2,96.2,94.5,95.5,,,,,,,,,,
Qatar,,,,,,,,,,,,,61.9,63.9,60.3,57.4,58.8,60.5,60.2,61.7,60.4,
Romania,,,,,78.1,,,,,,,72.1,,,,,77.3,77.5,71.2,74.1,,
Russia,,,,,,,,,,,,,,,,,,,,81.3,,
Rwanda,,,,62.5,65.4,86.6,,,97.3,,,,,,,95.9,,85.8,73.6,73.8,73.6,
Samoa,76.7,,,,,,,,,,,,,,,,,,,,70.2,
San Marino,,,,,,,,,,,,,96.6,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,54.1,54,,,,,87.9,88.1,87.1,,83.4,,
Saudi Arabia,,,,,,,,,,,,63.8,82.4,83.9,86.3,88.9,88.6,84.5,,75.1,73.7,
Senegal,,38.2,,,,,18.4,17.1,22.2,27.8,,,,,36.1,36,33.1,39.6,42,42.4,,
Serbia,,,,,,,,,,,,83.6,,,,76.4,82.7,83.9,84.2,83.3,81.4,
Seychelles,62.2,63.5,66.7,63.8,66.8,68.3,,,,,71.9,,,75.1,,,68.9,71.5,70.2,66.1,69.8,
Sierra Leone,,,,,,,,,,,,,,,68.5,,,71.4,,,,
Singapore,,,,,,,,,,,,,,,,,,,98.5,98.5,,
Slovenia,,,,,,,,,,,,,,,,93.9,,,,91.3,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,9.22,9.23,
South Africa,45.5,42.6,,38.8,44.1,45.4,55.7,55,,,,,,,,,,,,40.4,,
South Korea,95.8,96.5,91,91.5,92.5,91.4,91.9,93.3,95,97.8,87.9,76.9,91.5,93.5,,,,,,,,
Spain,,,,,97.1,98.5,98.1,98.1,99.1,99,98.4,98.5,,98,97.9,,,97.7,90.4,89.8,,
Sri Lanka,,,,94,95.7,92.6,,,94.5,,,,,,,,,,,97.1,,
St. Kitts and Nevis,,,,,75.3,72.9,74.7,,,68.1,65.5,,68.6,,75.1,74.4,,,,,,
St. Lucia,,,73.7,,64.7,63.7,65.3,67.9,68.6,74.3,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,63.9,,,,,,,59.9,,,,,,,,,
Suriname,,,,,,,,57.1,78.9,80.4,87.9,89.6,63.1,58.6,59.1,59.7,62.1,65.4,63.4,59.5,58.4,
Sweden,,,,,92.6,90.6,89.7,91.1,96.1,96.7,96.2,96.9,,98.2,,96.5,97.5,96.6,,,,
Switzerland,,,,,,55.6,,,,,,,,,,,,,,,,
Syria,,60.6,59.4,55.2,,66.5,59.7,59,,50.7,51.2,,,,,,,,,,,
Tajikistan,,84.3,,,,,,,95.6,,95.5,,,,,94.2,93.1,94,93.4,94.7,,
Tanzania,12.1,14,,31,91.6,,77.2,78.7,86.8,89,,,,,,64.3,72.6,,,50.4,,
Thailand,,,,,,,,,,,,,,,,,,63,,,,
Timor-Leste,,,,,,,,43.4,,,47.7,48.4,52.7,43.3,34.1,37.8,37.4,37.4,36.1,,52.5,
Togo,,41.7,41.6,45.4,45.3,44.4,43.7,42.8,47.8,48.2,,,59,55.6,56.7,,,67.1,,57.6,,
Tonga,58.4,46.9,,84.5,,,,,,,,,,,62.1,60.3,,,,,,
Trinidad and Tobago,,69.3,64.3,64.7,,62.8,62.4,,,,68.4,72.4,73.3,,,,,,,,,
Tunisia,,,,85.8,85.7,,89.3,,87.8,90,90.6,90.9,90.5,90.9,91.9,,,,,93.3,93.7,
Tuvalu,,,,,,,,,,,,,,,,,,,14.3,,80.7,
Uganda,,,,,70.1,,66.6,71.6,66.8,71.7,72.7,70.9,69.2,68.4,,,,60.1,59.2,58.8,,
Ukraine,,71.8,,,,74.9,76.4,74.9,72.8,76.1,76.5,77.8,83.2,84.1,78.6,70.9,66.5,,,,,
United Arab Emirates,,,,,,,,,,41.9,,,,,48.2,46.4,,46.5,,47.2,,
United Kingdom,,,,,,,,,,,,,,,,,,,94.2,95,,
United States,,,,,,,,75.4,,,,,75.7,,,71.2,73.1,72.7,,,,
Uruguay,,,,,,,,,,,,,,89.7,87.5,94.6,94.6,96.9,96.9,,,
Uzbekistan,,,,,,,,,75.3,,,77.5,,,80,80.2,80.6,,,88.7,,
Vanuatu,,,,,,,56.3,,,39.3,39.2,36.9,43,,,,,,,,,
Venezuela,,60,63.6,66.7,65.3,62,62.8,59.2,64.5,68.7,63.2,74.9,74.7,74.5,75.8,75.9,73.2,73.2,71.7,70.5,,
Yemen,,25.1,,,,,,,,,47.8,,,,,55.7,,,67,,,
Zambia,37.4,36.6,37.7,,35.1,,38.6,45.1,43.3,44.4,49.3,,46.1,48.6,51.7,50.4,,,,,,
Zimbabwe,,,46.8,50.9,48.1,48.3,,,,,,,,,44,40.4,,,,,,
