country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Botswana,,4.39,3.91,3.26,3.67,5.65,6.06,5.4,5.95,6.14,5.47,,,5.55,5.55,5.65,5.19,6.12,6.15,,5.74,,6.84,,,,,,,,,,,,,10.7,,8.85,,9.63,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,,,4.76,3.8,3.95,3.84,3.75,,3.97,4.48,4.87,4.97,5.27,5.46,5.65,5.74,5.86,5.84,5.95,6.24,,,
Brunei,6.24,5,4.04,8.79,3.39,1.96,1.97,,2.11,1.55,1.19,1.62,1.7,,,,,4.74,5.41,4.69,3.96,3.67,3.75,4.29,,,,,5.25,4.93,3.71,,,,,,,,,,2.05,3.32,2.89,,3.35,,4.43,,
Bulgaria,,,,,,,,,,,3.53,,,,,,,,,,4.45,5.43,5.26,4.95,4.17,2.39,2.25,,2.76,,,3.41,3.41,4.03,2.34,4.14,3.93,3.68,4.22,4.29,3.86,3.56,3.5,4.08,,,,,
Burkina Faso,,,,,,,,,1.68,,1.96,,,1.75,,1.76,,,1.43,,,,,,3.45,,1.44,,,,,,,,,4.43,4.48,4.59,,,3.94,4.48,4.05,4.59,4.56,4.17,,6.43,6.04
Burundi,,,,,,,,,,2.8,,3.35,,,,,,,,,3.36,3.49,3.81,,4.57,5.02,4.08,,,3.42,2.65,2.9,3,,3.74,3.63,,,5.19,6.17,6.78,6.32,6.17,6,6.78,6.37,4.69,4.76,5.01
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,1.66,1.72,1.71,,1.72,,,1.6,,1.67,1.53,1.51,1.56,2.05,1.91,,,,2.16
Cameroon,,3.08,3.36,,,,,,,,,,2.98,3.5,3.25,,2.85,2.93,2.71,2.65,3.29,3.22,2.75,,,,,,,,1.78,2.42,,3.09,3.01,2.89,2.74,3.08,2.61,3.11,2.99,2.77,2.7,2.77,2.69,2.77,2.65,3.15,3.15
Canada,,7.71,7.62,7.04,6.69,6.44,6.72,6.73,7.1,6.71,6.48,6.43,6.52,6.88,6.64,6.21,6.04,6.32,6.18,6.1,5.99,6.88,6.77,7.7,6.68,6.32,,,5.51,5.55,5.44,4.97,5.01,,,4.78,,4.78,4.64,4.85,5.37,5.27,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,6.8,,,7.88,,7.48,,6.53,5.41,5.52,5.31,5.57,5.04,,5,4.96,5.27,5.29,5.17,
Central African Republic,,,,,,,,,3.17,,,,,,,,2.21,2.55,,,2.24,2.28,,,,,,,,1.69,1.61,,1.52,1.54,1.62,1.65,1.42,1.31,1.29,1.25,1.12,1.11,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,1.65,3.23,2.65,2.43,,,1.59,1.69,,,,2.31,1.98,2.26,2.21,2.85,,,,2.45,2.24
Chile,,,,,3.75,3.59,,,3.07,3.48,4.22,4.91,,,,,,2.82,,,2.25,,,2.38,2.51,2.56,2.8,3.01,3.34,3.73,3.78,,4.08,3.96,3.54,3.26,3.02,3.21,3.79,4.23,4.16,4.05,,4.53,4.73,4.88,5.34,5.4,
China,,1.39,1.6,1.65,1.76,1.71,1.82,1.75,1.96,2.15,1.91,1.95,2.03,2.08,2,2.01,2.06,1.8,1.76,,,,1.65,1.66,1.99,1.84,1.85,,1.84,1.89,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,1.75,1.73,2.6,,,3,2.72,,,,2.71,,,,,,,,,3.93,4.44,3.51,3.71,4.27,4.33,4.08,4.03,3.93,4.09,3.95,4.77,4.84,4.47,4.37,4.88,4.63,4.47,4.48,4.54,4.5
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,2.26,,,,,,4.42,,,2.83,2.75,2.38,2.74,2.49,,,
"Congo, Dem. Rep.",,,,,,,,,,,2.27,2.54,2.8,1.3,0.704,0.826,0.723,0.861,0.815,,,,,,,,,,,,,,,,,,,,,,1.52,,,2.06,1.95,2.17,2.12,1.45,
"Congo, Rep.",5.73,5.55,,5.24,,7.74,,,8.41,7.04,6.36,,,,,,,,,,,,,,6.37,4.91,,,4.07,,,,3.21,2.84,2.29,1.84,,,,,6.22,,,,4.02,4.56,,5.66,3.64
Costa Rica,,,,,,,,,,,7.35,,4.89,4.96,,,4.42,,4.01,4.08,,,,,,3.37,3.91,,,5.42,4.69,4.85,5.17,5.16,4.91,,4.64,4.66,4.92,6.05,6.63,6.46,6.69,6.85,6.87,7.08,7.1,7.35,7.03
Cote d'Ivoire,5.87,,7.53,7.05,5.69,6.79,6.46,,6.75,8.23,6.86,,,,,,,,,,,,6.78,6.5,4.79,4.3,4.06,4.03,3.79,4.09,3.7,3.67,4.09,3.97,4.13,4.11,4,4.26,4.34,4.41,4.55,4.14,4.65,4.73,4.58,4.83,5.39,5.14,4.37
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,3.87,3.83,,,3.97,4.27,4.38,4.24,4.15,,4.56,,,,,
Cuba,,,,,,,,,,,8.37,,,,,,,,,,,7.14,,7.07,5.62,,,,6.21,6.76,7.7,8.36,9.57,9.94,10.3,10.6,9.06,11.9,14.1,13.1,12.8,,,,,,,,
Cyprus,,,,,,4.34,3.82,3.39,3.31,3.35,3.43,3.79,3.73,,3.6,3.59,3.49,3.45,3.38,3.38,3.34,3.58,3.78,4.1,4.16,3.74,,,,4.77,4.99,5.12,5.58,6.67,6.12,6.29,6.33,6.28,6.72,7.21,6.58,6.56,,6.43,6.37,6.38,6.29,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,3.78,4.18,4.68,4.55,4.27,,3.6,3.68,3.65,3.75,3.97,4.14,4.01,3.89,4.22,3.87,3.74,4.17,4.06,4.27,4.25,4.09,3.99,5.79,5.59,,
Denmark,5.96,6.39,6.48,6.27,6.58,6.71,,5.67,5.75,5.59,5.91,,,,,,5.84,6.08,6.34,5.84,,5.6,,7.77,7.47,7.47,7.88,,8.11,7.93,8.08,8.22,8.21,8.12,8.21,8.09,7.73,7.62,7.48,8.45,8.56,8.48,7.24,8.49,7.63,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,9.66,7.81,8.45,8.89,9.26,8.37,8.28,8.41,,,4.49,,,,,5.34,5.79,5.59,5.56
Dominica,,,,,,,,,,,,,,,,,,,,4.29,,,,,,,,,5.74,4.03,,,,,,,,,,,,,,,,3.39,,,
Dominican Republic,2.64,,,,,,,,,,,,1.54,1.46,1.33,1.21,,,,,,,,0.774,0.893,1.03,1.23,,,,1.89,1.97,1.91,1.84,,,,2.05,,,,,,,,,,,
Ecuador,2,1.88,,,,,,2.42,,,,,,,4.2,5.23,6.87,,,,,,,,,2,,,2.2,1.55,1.15,,,,,,,,,4.34,4.51,4.73,4.64,5,5.26,5,,,
Egypt,,4.53,4.54,,5.23,4.89,4.94,4.55,4.94,,4.28,,5.61,5.22,,,,,4.53,4.6,,,4.05,4.2,4.58,4.6,4.67,,,,,,,4.95,4.67,4.79,4,3.68,3.76,,,,,,,,,,
El Salvador,,,,,,0.905,,,,,,,,,,,,,,,,,,,,,,,2.55,2.56,2.84,,3.24,3.13,,3.18,3.49,3.61,4.46,4.66,4.05,3.9,3.71,3.8,3.82,3.91,3.83,3.73,3.6
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,4.26,4.57,,4.05,3.52,,3.15,,2.13,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,6.11,6.45,6.3,6.69,5.34,5.24,5.47,5.29,4.91,4.84,,4.66,5.52,5.95,5.53,5.02,4.71,4.84,5.4,5.14,5.17,,
Eswatini,,,,,,,3.71,3.94,5.8,6.36,5.3,6.58,6.75,,,,,5.8,5.51,5.66,5.48,,,,5.14,5.65,4.94,,,5.09,5.51,4.84,4.44,5.82,5.4,6.48,6.55,,6.62,6.47,6.12,6.86,,,7.13,,,,
Ethiopia,,,,,,,,,,,,,2.11,2.3,2.11,2.34,2.14,,,,,,,2.35,,,2.77,2.76,,,3.98,3.7,3.63,,,,5.49,5.45,5.41,4.42,4.5,5.49,5.57,4.5,4.6,4.74,,,
Fiji,,,,,,,,,,5.2,,5.82,,6.49,,,,,,4.83,,,,,,,,,5.51,5.15,5.86,5.62,6.24,,6.16,5.12,5.61,5.85,4.25,4.5,,4.17,,3.88,,,,,
Finland,5.41,5.33,5,5.09,4.48,5.03,5.22,,,4.79,4.82,4.83,4.78,4.85,4.7,5.04,5.1,5.2,5.06,5.07,5.34,6.33,6.52,7.48,6.86,6.81,6.86,,,5.87,5.72,5.85,6.02,6.17,6.17,6.04,5.94,5.69,5.85,6.49,6.54,6.48,7.19,7.16,7.15,7.08,6.9,,
France,3.43,3.17,3.36,3.23,4.24,4.43,4.42,4.44,4.35,4.28,4.31,4.73,4.85,4.85,4.87,4.85,4.71,4.62,4.54,4.46,4.51,4.84,4.74,5.43,5.63,5.79,5.76,,5.69,5.67,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,2.81,,,,,,3.42,3.08,3.83,,,,,,,,,,3.08,2.99,3.01,3.03,2.67,,,,
Gambia,,,,,,,,,,,,,,,,4.3,3.48,,,2.97,2.83,3.78,1.17,,,2.55,2.57,,,1.57,1.47,1.16,1.44,1.36,1.03,1.14,1.21,1.31,3.53,3.07,4.16,3.93,4.1,1.83,2.18,2.14,2.06,,2.43
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,6.92,,,,2.11,2.16,2.18,2.14,2.23,2.07,2.91,2.48,3,2.7,2.92,3.22,,2.7,1.98,,,,3.78,3.85,
Germany,,,,,,,,,,,,,,,,,,,,,,,,4.41,4.33,4.42,4.48,,4.45,,,,,,,,4.28,4.34,4.41,4.88,4.91,4.81,4.93,4.93,4.92,4.81,4.8,,
