country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cyprus,,,,,,,,,,,,,,,,,,,,,,,51.3,,,,,,,,,,,,67.4,69.2,71.7,73.4,74,74.5,75.8,77.2,78.7,79.7,79,78.6,80.3,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,67.9,,,,,,,,,,,,,,,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,,
Denmark,,,,,,,,,,,,,,,,,,,,,,61.3,,,,,,,,,,,,99.7,100,,,,100,,,,99.6,99.6,91.5,92.1,92.4,,93.8
Dominica,6.3,,,,,,,,,,,12.8,,,,,,,,,,,,,,,,,,,,26.6,,,,,,,,,,,,,,,,,
Dominican Republic,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,52.6,53.8,54.4,55.2,56.4,56.6,,,
Ecuador,,,,,14.4,,,,,,,,23.5,,,,,,,,43.7,,,,,,,,,,,,,,,,,43.1,43,43,44.7,45.3,46.8,47.9,48.8,52.2,51.9,52.9,
Egypt,,,,,,,,,,,,,,,,,19.4,,,,,,,,,,,,,,,,,,,,44.4,,,,,,,,,,,73,
El Salvador,,7.91,,,,,,,,,,,,,,,,,,,,,16.3,,,,,,,,,,,,,,36.9,34.5,36.6,37.5,41.7,38.6,39.8,41,,,43.2,42.8,
Estonia,,,,,,,,,,,,,,,,,,,,58.8,,,,,,,,,,,89.4,,,,,,,,,,,,,,,,,,
Eswatini,,,,,,,11.9,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22,,,,12.5,,,,,,,
Fiji,,,,,,,14,,,,,,,,,,29.4,,,,,,,,,,45.1,,,,,,,,,,,60.3,,,,,,,,,,87.3,
Finland,,,,,,,,,,,,,,,,44.4,,,,,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,48.4,,,,,,,,,,,,,,74.1,74.7,,76.9,77.9,78.4,79.2,79.8,80.5,81.5,82.6,83.2,83.7,84.2,
Gambia,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1,,,,,,,,,,95.6,,96.7,,98,97.5,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8,96.9,96.9,97.1,96.7,96.7,96.5,96.7,96.7,96.7,96.8,96.7,96.5,,96.3
Ghana,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,,,,,,,,
Greece,,,,,,,,,,,,27.3,,,,,,,,,,37.4,,,,,,,,,,,,,,58.3,53.5,61.6,62,,63.1,,,,67.5,69.2,64.8,,
Grenada,6.77,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,6.1,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,17.1,,,,14.8,,,,,,24.2,25.5,36.8,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96,,,,,,,,,,,,,,11.7,,,,10.9,,,,
Guyana,10.2,,,,,,,,,,19.1,,,,,,,,,,,,,,,,,,,,,,31.2,,,,,,,,,,,,,,,,
Haiti,,4.07,,,,,,,,,,,7.8,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,,27.6,27.1,,32.4,32.5,33.7,,31.2
Hungary,80.5,,,,,,,,,,87.5,,,,,,,,,,,,,,,,,,,,,87.3,,,,90.8,,,,97.6,97.9,98.2,98.3,98.4,96.6,96.8,97.2,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8,,,,,,,,,,,,,
India,,5.04,,,,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,,,
Indonesia,,5.59,,,,,,,,,10.5,,,,,,,,,,19.1,,,,,,,,,,,,,,,,43.3,40.4,41.4,42.3,,44.5,,,47.3,48.8,44,,50.9
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9,,60.1,,62.5,,64.7,67.7,68.5,,69.8,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,,,,,
Ireland,,32.1,,,,,,,,,,47.6,,,,,,,,,,61.5,,,,,,,,,,,,,,,,77,,,81.1,83.5,,,,,,86.2,
Israel,,,46,,,,,,,,,,59.7,47.1,,,,,,,,,,,,,,,,,,,,,,,75.3,84.4,,84.8,85.1,85.7,86.2,88.4,88.8,89.2,,,
Italy,,20.1,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,64.4,,,,68.8,70,70.9,71.9,72.8,73.8,74.8,75.7,,77.6,78.5,,,
Jamaica,8.05,,,,,,,,,,,,17,,,,,,,,,32.6,,,,,,,,,,,,,,,,,,,,60.7,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,,,,70.4,73.3,,74.1,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,63.1,,,,,,,,,,82.1,,,,,,,,99.3,,95.6,,,,,,,,,99.5
Kenya,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,29.1,,,,,,,,
Kiribati,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,18.7,,,,,23.9,,,,,34.5,,,,,42.5,,,,,,,,,,,,,,,,,,,,43.6,44.8,46.3,48.9,,,,56,50.8,,55.9,,56.1,55.9
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.2,,,,,,,,,,95.7,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,59.6,,,,,,,,,,,,,,,97,98,98.3,98.2,97.9,99,99.1,99.1,99.2,99.3,99.4,99.6,100,,100
Lebanon,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,,,,,,,,,,,
Lesotho,,,,,,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,,20.9,,,,,,,,,,
Liberia,,,,,9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,69.6,,,,,,,,,,,,,,,,87,88.1,88.6,89.6,90.2,91,91.6,91.4,92.3,93.1,93.8,94.9,95.6,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,56.3,,,,,,,,,,71,,65.4,,,,77.9,,,,,,,,100,,,
Malawi,,,,,,,,2.68,,,,,,,,,,5.21,,,,,,,,,,,8.57,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,21.3,,,,,,,,,,,,,,,,49.7,,,,56.5,,,,,46.5,,,,66.9,68.2,,,,,,74.2,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,
Mali,,,,,,,0.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,10.9,,,,11.5,7.79,,10
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,,,,,63.2,,62.5,,,68.1,69.7,73.3,75.6,76.9,77.6,78.2,,82.2
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.1,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,13.2,,,,,,,,,,,24.3,,,,,,,33,,,,,,,,,,39.1,,,,,,,,,,,54.2,,,,,,,
Mexico,,,,,,,,,,,17.2,,,,,,,,,,32.6,,,,,,,,,,40.4,,,,48,47.7,51.8,51.8,52.8,54.4,53.1,,58,56.6,57.5,59.5,59.7,61.2,63.2
Moldova,,,,,,,,,,,,,,,,,,,,70.2,,,,,,,,,,,,,,,,,,91.7,92.5,93.3,93.8,94.3,95,95.5,96.2,96.4,,,97.3
Monaco,,,,,,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2,,,,,,,,,,84.7,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5,,,,,,,,89.4,,,,,,,
Morocco,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,16.8,,15,
Myanmar,,,,9.3,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,49.3,,,,,,,,,,28.5,,,,,,,,,,,,,,,,,
Nepal,,2.1,,,,,,,,,,4.82,,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,,,26.9,,,,,,,
Netherlands,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.2,89,,90.2,89.5,89.4,89.5,89.4,89.9,89.4,89.4,89.5,89.7,,90.4
New Zealand,,,,,,,,,,,,,,,,,,,,,,63.2,,,,,,,,,,,,,,,,,,,,,,,,,100,,
Niger,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,39.9,,,,,,,,47.8,,,,,,,,,,,,,,,,
Norway,99.4,,,,,98.2,,,,,98.1,,,,,,,,,,99.8,,,,,,,,,,,,,,99.8,99.8,99.8,99.8,99.7,99.7,99.7,99.6,,,99.2,99.2,99.2,99.2,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4,,,,,54,,52.3,,,,,66.4,,,
Pakistan,,,10.7,,,,,,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,21.4,32.5,,31.2,32.2,33.4,33.2,35,35.4,37.3,,37.2,36.4,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,47.3,49.1,50.1,52.1,52.7,54.3,56.7,58,58.8,60.4,61.1,,64.2
Panama,21.6,,,,,,,,,,31.5,,,,,,,,,,44,,,,,,,,,,47.5,,,,,,,,,,61.5,,,,,,,,
Paraguay,,,12.4,,,,,,,,,,19.4,,,,,,,,,,27.3,,,,,,,,,,,34.9,,41.7,38.8,37,38.8,32.9,,,42.7,46.7,46.7,49.1,47.8,,50.1
Peru,,,17.9,,,,,,,,,32.8,,,,,,,,,,,,48.3,,,,,,,,,,,61.7,50.2,49.7,52.6,52.9,53,59.2,59.6,61.1,61.9,61.6,62.3,,,64.1
Philippines,23.8,,,,,28.2,,,,,34.1,,,,,,,,,,46.1,,,,,,,,,,50.5,,,,63.6,,,,64.9,,66.8,,,70.1,,,,59.4,
Poland,26.1,,,,,,,,39.6,,,,,,,,,,55.7,,,,,,,,,,,,,,,,,,,,78.9,80,80.9,81.7,82.3,83.1,83.9,,85.3,,
Portugal,8.45,,,,,,,,,,,14,,,,,,,,,,22.4,,,,,,,23.6,24.3,25.1,26.3,27.2,29.2,31.9,33.4,35,35.5,37.5,39.7,41.3,45,47.2,49.3,51.4,52.7,54.2,55.2,54.3
Qatar,,,,,,,,,,,,,,,,,36.7,,,,,,,,,,,,,,,,,,54.1,,,63.9,66.2,63.4,46.8,52.6,60.5,69.5,68.4,,67.5,68,
Romania,,,,,,,,44.4,,,,,,,,,,,,,,,70.2,,,,,,,,,,79.2,,,,,85.7,86.4,86.8,87.3,88.2,88.9,89.4,89.1,89.5,90,90.5,
Russia,,,,,,,,,,,,,,,,,,,,63.1,,,,,,,,,,,,,97.1,,,,,,,,93.7,,,,,,,,
Rwanda,,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,12.2,,12,,,,13.4
Samoa,,33.2,,,,,40,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
Sao Tome and Principe,,,,,,,,,,,,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,,,,48.8,,,,,,,,,66.5,,,,68.8,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55,,,,,10.8,,13.9,,,,17.8,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,,,,,,84.7,85.1,85.6,84.6,,85.8,86.7,88.6,89.5,89.8,
Seychelles,,15.8,,,,,,,,,,,,,,,,41.5,,,,,,,,,,,,,,,69.6,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,18,,,,,,,,,,36,,,,,58.1,,,,,,,,,,70.8,71.9,73,74.9,74.8,76.2,76.7,77.4,78.1,78.6,79.4,79.6,80,81.4
