country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cameroon,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Canada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0.368,0.368,0.368,0.368,0.368,0.65,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0,0,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.631,0.631,0.631,0.65,0.65,0.65
Chad,0,0,0,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0,0,0,0,0,0,0.0494,0,0,0,0,0,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166
Colombia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Congo, Dem. Rep.",0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.377,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.377,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
"Congo, Rep.",0.306,0.306,0.306,0.166,0.166,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.262,1,1,1,1,1,0.435,0,0,0,0,0.335,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513
Costa Rica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cote d'Ivoire,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.65,0.65,0.65,0.436,0.65,0.65,0.65,0.65,0.403,0.436,0.65,0.631,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.377,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Croatia,,,,,,,,,,,,,,,,,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.99,0.803,0.803,0.803,0.803,0.803,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.306,0.306,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462
Cyprus,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czech Republic,0.306,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.306,0.306,0.803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Denmark,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dominican Republic,0.803,0.803,0.803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.803,0.803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ecuador,0.216,0.216,0.216,0.216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.803,1,1,0.65,0.65,0.803,0.803,0.803,0.803,1,1,1,1,1,1,1,1,1,1,1,1,1
Egypt,0.462,0.462,0.462,0.462,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.335,0.403,0.335,0,0.254,0.513,0.513,0.513
El Salvador,0.65,0.462,0.462,0.65,0.403,0.403,0.403,0.403,0.403,0.884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Equatorial Guinea,0.254,0.254,0.254,0.254,0,0,0,0,0,0.216,0.216,0.216,0.216,0.368,0.368,0.368,0.368,0.368,0.368,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368
Eritrea,,,,,,,,,,,,,,,,,,,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166
Estonia,,,,,,,,,,,,,,,,,0.614,0.803,0.803,0.803,0.803,0.803,0.803,0.803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eswatini,0,0,0,0,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335
Ethiopia,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.462,0.462,0.462,0.462,0.433,0.433,0.433,0.262,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.631
Finland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gabon,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.433,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Gambia,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.335,0.335,0.335,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.803,0.803
Georgia,,,,,,,,,,,,,,,,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ghana,0,0,0,0.0494,1,1,0.435,0,0,0,0,0,0,0,0,0,0.0494,0,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.803,0.803,0.803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Greece,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guatemala,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0,0,0,0.0494,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guinea,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.368,0.513,0.513,0.513,0.513,0.513,0.254,0.254,0.513,0.513,0.513,0.513,0.513,0.513,0.335,0,0.166,0.614,0.614,0.614,0.803,0.803,0.803,0.803,0.803
Guinea-Bissau,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.879,0.885,0.885,0.885,0.631,0.631,0.803,0.803,0.803,0.335,0.743,0.803,0.803,0.803,0.803,0.65,0.65,0.65,0.254,0.254,0.803,0.803,0.803,0.803,0.803
