country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,,,,,,,,,25.5,
Chile,,19.5,,16,,16.6,,16.8,,
Costa Rica,25.9,24.1,21.7,20.8,21.7,21.8,20.5,18.8,19.1,16.6
Dominican Republic,31.8,30.9,31.5,30.4,26.3,22.8,20.7,,,
Ecuador,46.1,40.7,37.8,38.7,37.4,35,35.1,34.6,37.9,38.1
El Salvador,,,,,35.2,,34,33.4,,
Ghana,31.8,,,,,,,,,
Guinea,,,,,68.7,,,,,
Mali,,,,,,,43.7,,,
Morocco,,8.6,,,7.7,,,,,
Philippines,,,,,,,23.9,17.3,,
