country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Estonia,,,,,,8.89,,,5.01,5.93,5.09,7.94,5.06,5.21,6.36,4.13,3.23,2.36,2.91,6.2,9.37,8.02,6.06,5.76,4.76,3.85,3.86,3.2,3.56,2.86
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,
Ethiopia,,,,,,,,,,8.39,,,,,,8.05,,,,,,,,5.48,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,6.76,,,,,5.02,,,
Finland,,,,,,,,,6.36,4.84,5.21,4.28,4.04,4.17,4.87,4.4,3.67,3.6,3.26,4.03,4.41,3.93,3.89,4.41,5.06,5.95,5.81,5.21,4.18,3.94
France,,,,,,,,,7.29,6.85,5.55,4.85,5.49,5.84,6.42,5.93,5.6,5.21,4.3,5.32,5.24,5.17,5.43,5.99,6.32,6.32,5.71,5.23,5.44,5.1
Gambia,,,,,,,,,,,,,,,,,,,,,,,0.0454,,,,,,7.04,
Georgia,,,,,,,,,,11.2,,,16.8,,,,,,,,,24.9,23.6,23.1,20.5,19.1,19.6,15.4,12.9,
Germany,,,,,,,,,5.5,5.03,4.26,4.13,4.26,4.97,5.4,5.51,4.79,3.82,3.31,3.39,3.02,2.37,2.31,2.35,2.47,2.32,2.19,1.98,1.87,1.81
Ghana,,,,,,,,,,,,,,,,,4.76,,,,,,,4.17,,7.09,,4.56,,
Greece,,,,,,,,,7.39,8.75,8.08,7.66,7.15,6.83,7.87,7.95,7.32,7.13,6.37,7.51,9.98,14.2,18.3,20.4,20,19.9,18,16.5,14.2,12.2
Guatemala,,,,,,,,,,,,,,3.36,4.98,,1.24,,,,2.41,,5.53,2.08,,1.25,2.06,2.91,,
Guinea,,,,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,
Haiti,,,,,,,,,,,,,,,,,,,,,,,26.8,,,,,,,
Honduras,,,,,,,,,,,,,,,,4.77,5.08,3.77,3.9,4.29,5.79,5.89,3.64,6.7,8.72,8.95,7.26,7.58,7.65,
Hungary,,,,,,,,,2.17,1.24,1.42,1.22,1.73,1.36,2.2,2.68,2.63,2.79,2.71,3.85,4.58,4.25,4.46,3.9,3.14,2.42,1.8,1.62,1.46,1.54
Iceland,,,,,,1,1.4,1.67,0.9,0.885,,0.834,1.17,,0.973,1.35,1.02,0.846,1.63,3.96,3.65,4.52,2.89,3.48,3.66,2.73,1.69,1.61,1.86,2.31
India,,,,,10,,,,,,10.3,,,,,8.72,,,,,7.44,,8.37,,,,,,15.3,
