country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,,,,,,,3.52,,,,8.69,,,,,,,
Argentina,,,,,1.76,,,,1.15,1.99,0.921,0.918,0.989,,0.683,0.854,0.625,
Armenia,,,,,,,2.77,3.53,6.99,4.73,3.82,3.01,0.663,,,,,
Azerbaijan,,,,,,,,,,,,,,3.69,,,,
Bangladesh,,,,,,,,,3.76,,,,,,,,,
Belarus,,,,,,,0.439,0.512,0.133,,0.396,,,0.207,0.549,,,
Belize,,,,,,,,4.9,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,0.554,40.2,35,,
Bosnia and Herzegovina,,,,,,1.43,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,2.46,,,,
Brazil,,,,,4.66,,,4.97,,3.49,3.58,,,3.46,1.17,1.34,1.03,
Bulgaria,,,,,,6.43,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,1.76,,,,,,
Cameroon,,,,,,,,,,,,,1.96,,,,,
Cape Verde,,,,,,0.472,,,,,,,,,,,,
Chile,,,,,33.4,,,33.3,,0.272,,29.7,,33.4,,34.5,,
Comoros,,,0.00026,,,,,,,,,,,,,,,
Costa Rica,,,,,,,19.4,22.9,18.2,21.6,21.3,,18.9,20.3,21.4,20.6,,
Cote d'Ivoire,0.827,,,,,,,,,,,,,,,,,
Croatia,,,,,,,2.71,,2.93,1.96,,,2.16,,,,,
Djibouti,0.166,,,,,,,,,,5.76,,,,,,,
Ecuador,,,,,,,0.121,,0.0774,0.0206,0.0919,,2.79,3.57,,2.83,,
El Salvador,,,,,,0.96,0.507,0.839,1.81,0.56,1.09,,0.679,1.01,1.22,1.15,,
Eswatini,,,,,,,,,,,,,,,1.7,,,
Georgia,,,,,,,,,,0.495,,,,,,,,
Ghana,,,,2.22,,,,,,,10.6,,,,,,,
Guatemala,,,,,,,,,,,,,7.38,,,,,
Honduras,,,,,,,0.0764,,0.325,0.96,,,,,,,,
Hungary,,,,,,4.9,,,,,,,,,,,,
India,,,7.76,,,,,9.37,,,,,,,,,,
Indonesia,,,,,,,,1.07,,2.72,2.66,,3.07,4.42,,8.58,,
Iraq,,,,,0.561,,,,,,2.58,,,,,,,
Jamaica,3.73,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,6.86,,,,,
Kyrgyz Republic,,,,,,,,,,22,18.9,23.2,,,,,,
Latvia,,,,,,,6.82,4.57,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,1.05,,
Liberia,,,,,,5.52,,,,,,,,,,,,
Lithuania,,,,,,,1.47,,,,,,,,,,,
Madagascar,,,,,,,,,16.1,,,,,,,,,
Mauritius,,,,,2.02,,,,,,1.25,,,,,,,
Moldova,,,,,,,,,1.03,,0.113,0.349,,,,,,
Mongolia,,,,,,2.83,,3.78,2.11,,3.27,,1.96,,3.88,,,
Montenegro,,,,,,,,,,1.61,1.84,0,2.39,,,,,
Morocco,,,,,,,,8.28,,,,,,,,,,
Mozambique,,,,,,,,,,,,,2.72,,,,,
Myanmar,,,,,,,,5.77,,,,,,,,,,
Namibia,,,,,,,,,,,,,,1.57,,,,
Nicaragua,,,,,,,,4.89,,,,,8.87,,,,,
Panama,,,,,,,18.3,0.536,1,0.389,0.461,,0.295,0.196,0.346,0.436,0.691,
Peru,,,,,,,,,,,,0.103,,,,,,
Poland,,,,7.22,5.92,4.82,3.9,4.92,1.23,0.978,1.2,,,0.856,,,,
Romania,,,,,,,0.946,,,1.41,1.25,,,,,,,
Russia,,,,,,0.312,,,,,,,1.17,0.632,0.556,0.367,,
Rwanda,,,,54.6,,,,,5.3,,,1.28,,,,,,
Senegal,,,,,,,,,,0.299,,,,,,,,
Serbia,,,,,,,,,,,,,,1.26,,,,
Slovak Republic,,,,,,,,3.98,,,,,,,,,,
South Africa,,,,0.935,,,,,,,,,,,,,,
Tanzania,,,,,,,,,7.38,,9.75,,1.33,,,,,
Turkey,,,,,,,,1.02,0.829,0.874,0.467,1.08,0.976,1.09,1.21,,,
Ukraine,,,,,2.65,,,,,2.39,2.75,1.59,,,2.19,,,
Uruguay,,,,,,,0.712,0.785,0.911,0.834,1.11,,,1.07,0.902,0.977,,
Vietnam,,,,,0.379,,,,3.33,,3.01,,1.33,,,,,
Yemen,,,,0.0886,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,2.57,,0.693
