country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Palau,,,,,,,,,37.4,,,,,,,,,,,,,
Palestine,,,,,,,,,,11.5,,10.7,,,,,,,,,,
Panama,,,,,,,,,,,67.1,64,64,60.5,63.5,64.5,63.4,73.7,74.7,72.8,75.9,
Papua New Guinea,,,,,,,,,,,,4.24,,,,,,,,,,
Paraguay,,,,,,,,,,37.2,43.7,45.4,54.2,52.3,68.2,63.2,62.2,66.8,66.7,68.1,,
Peru,,,,,,,,,,,52.4,64.1,68.4,66.1,89.5,63,64.9,65.6,64.9,65.9,,
Philippines,,,,,,,,,7.47,,,,,,,36.7,,40.6,,,,
Poland,,,,,,,,79.7,77.7,74.8,71.1,70.6,66.4,65.5,64.4,,,61.1,,,,
Romania,,,,,,,,,,,82.8,,,84.2,83.7,,,,,,,
Russia,,,,,,,,,,58.7,,,,,,,78.2,77.1,77.9,77.5,,
Rwanda,,,,,,,,34.5,,,,,27.9,,,28.4,,,,,,
Samoa,,,,,,,,,,,33.6,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,16.8,,,,,,,,
Serbia,,,,,,,,,,62,,,65.1,,,63.2,,61,,,,
Sierra Leone,,,,,,,,,,,,,,30.2,,,,,,,,
Slovak Republic,,,,,,,,,,,,88.6,,,,,,,,,,
Solomon Islands,,,,,,,,1.58,,,,,,,,,,,,,,
South Africa,,,,,,,,58.5,,,,,62.8,,,,79.8,,,,,
South Sudan,,,,,,,,,,,,6.24,,,,,,,,,,
Sri Lanka,,,,,,,,,35.6,,,29.8,,,33.1,,,,35.1,,,
Sudan,,,,,,,,,,,,7.45,,,,,,,,,,
Syria,,,,,,8.19,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,39.3,,,,,,,,
Tanzania,,,,,,,,,,,8.78,,20.3,,24.6,,12.9,,,,,
Thailand,,,,,,,,,54,,,70.5,,68.9,,65.4,,,,,,
Timor-Leste,,,,,,,,,,26.3,,,,35.3,,,,,,,,
Togo,,,,,,,,,,,,,,3.01,,,,,,,,
Tonga,,,,,,,,,,,,1.29,,,,,,,,,,
Tunisia,,,,,,,,,,,,,14.4,,,,,,,,,
Turkey,,,,,,,51.7,53,55.2,58.7,63.8,48.1,48.6,49.1,47.9,48.9,50.3,50.2,50.4,,,
Uganda,,,,,,,,10.6,,,,7.2,,,60.7,,,,,,,
Ukraine,,,,,,,,,70.1,,,,,72,71.4,71.7,,70.3,67.6,,,
Uruguay,,,,,,,,,,,71.9,77,79.7,78.5,79.9,,,77.9,77.6,76.4,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,25.2,
Venezuela,,,,,,,,,14.5,,,,,,,,,,,,,
Vietnam,,,,,,,,,37.4,,,,55.1,,40.4,,34.9,,,,,
Yemen,,,,,,,,21.3,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,1.62,,,,,2.31,,,,
Zimbabwe,,,,,,,,,,20.9,,,,29.6,,,,,,15.3,,36.7
