country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Peru,,,,,,,,,,,43.5,57,60.8,58.4,86.6,54.3,56.1,57.8,57,57.9,,
Philippines,,,,,,,,,,,,,,,,27.4,,33.8,,,,
Poland,,,,,,,,50.6,49.3,47.6,43.3,41.1,39.6,39.3,38.8,,,31.3,,,,
Romania,,,,,,,,,,,55.4,,,62.2,61.8,,,,,,,
Russia,,,,,,,,,,28.2,,,,,,,68,66.8,67.9,65.8,,
Rwanda,,,,,,,,1.87,,,,,22.5,,,20.1,,,,,,
Senegal,,,,,,,,,,,,,,8.24,,,,,,,,
Serbia,,,,,,,,,,11.9,,,11.3,,,11.7,,13.4,,,,
Sierra Leone,,,,,,,,,,,,,,30.2,,,,,,,,
Slovak Republic,,,,,,,,,,,,83.2,,,,,,,,,,
Solomon Islands,,,,,,,,1.58,,,,,,,,,,,,,,
South Africa,,,,,,,,56.6,,,,,60.8,,,,78.6,,,,,
South Sudan,,,,,,,,,,,,6.24,,,,,,,,,,
Sri Lanka,,,,,,,,,29.7,,,23.6,,,26.2,,,,28.1,,,
Sudan,,,,,,,,,,,,7.45,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,9.75,,,,,,,,
Tanzania,,,,,,,,,,,8.78,,15.7,,19.3,,10.9,,,,,
Thailand,,,,,,,,,43.3,,,63.9,,62.6,,59.3,,,,,,
Timor-Leste,,,,,,,,,,26.3,,,,35.2,,,,,,,,
Tunisia,,,,,,,,,,,,,14.4,,,,,,,,,
Turkey,,,,,,,27.2,27.6,30.5,33.2,37.1,18,18.4,18.4,15.9,16.7,17.7,17.1,18,,,
Uganda,,,,,,,,9.84,,,,6.47,,,60.5,,,,,,,
Ukraine,,,,,,,,,47.4,,,,,49,49.5,48.1,,36.6,34.7,,,
Uruguay,,,,,,,,,,,48.1,55.3,58.7,57.5,59.2,,,55.9,57.8,57.8,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,6.69,
Venezuela,,,,,,,,,4.74,,,,,,,,,,,,,
Vietnam,,,,,,,,,22.5,,,,38.5,,23.4,,17.5,,,,,
Yemen,,,,,,,,12.6,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,0.571,,,,,1.46,,,,
Zimbabwe,,,,,,,,,,20,,,,27.7,,,,,,11.4,,31.1
