country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Nicaragua,3.7,3.6,3.6,3.6,3.5,3.6,3.7,3.8,3.9,3.7,3.7,3.7,3.6,3.6,3.6
Niger,3,3,3,3,3.1,3.2,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.2,3.3
Nigeria,3.1,3.1,3.2,3.2,3.2,3.2,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.4,3.5
Pakistan,3.1,3.1,3.1,3,2.9,2.9,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.2,3.2
Papua New Guinea,2.5,2.5,2.7,2.6,2.7,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6
Rwanda,3.6,3.8,3.8,3.9,3.9,4,4,4.1,4.1,4.2,4.3,4.3,4.3,4.2,4.2
Samoa,3.9,3.9,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.9,3.9,3.9,3.9
Sao Tome and Principe,2.8,2.8,2.8,2.8,2.8,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
Senegal,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.7,3.7,3.7
Serbia,3.9,2.8,,,,,,,,,,,,,
Sierra Leone,2.9,2.8,2.9,2.9,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.1
Solomon Islands,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Somalia,,,,,,,,,,,,,2,,2.4
South Sudan,,,,,,,,2.3,2.2,2.1,2.1,1.8,1.7,1.5,1.5
Sri Lanka,3.8,3.7,3.7,3.8,3.8,3.7,3.6,3.6,3.6,3.6,3.6,,,,3.7
St. Lucia,3.8,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.9
St. Vincent and the Grenadines,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.5,3.6,3.6,3.6,3.6,3.7
Sudan,2.3,2.3,2.4,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5
Tajikistan,3.1,3.1,3.2,3.4,3.4,3.4,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4
Tanzania,3.8,3.8,3.8,3.7,3.7,3.7,3.5,3.7,3.8,3.8,3.7,3.7,3.7,3.6,3.6
Timor-Leste,,2.6,2.7,2.7,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Togo,2.6,2.6,2.6,2.7,2.7,2.8,3,3,3.1,3.2,3.3,3.4,3.4,3.4,3.6
Tonga,3.2,3.2,3.2,3.3,3.4,3.4,3.2,3.3,3.3,3.3,3.3,3.3,3.1,3.2,3.3
Tuvalu,,,,,,,,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Uganda,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.5,3.5,3.5,3.5
Uzbekistan,3.6,3.6,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.8
Vanuatu,2.8,2.8,2.9,2.9,2.9,3,3,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.1
Vietnam,3.8,3.9,4,4,4,4,4,4,4,4.1,4.1,,,,
Yemen,3.1,3.1,3,3.1,3.1,3.1,3,3,3,3,2.7,2.5,2.3,2.3,2.3
Zambia,3.4,3.4,3.4,3.5,3.5,3.5,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.1
Zimbabwe,2,2,1.8,1.5,1.6,1.8,2.4,2.4,2.5,3.1,3.3,3.4,3.5,3.7,3.7
