country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,0.425,0.425,0.425,0.432,0.432,0.432,0.432,0.432,0.432,0.435,0.427,0.436,0.436,0.44,0.432,0.451,0.451,0.448,0.475,0.499,0.507,0.507,0.507,0.507,0.507,0.507,0.501,0.515,0.489,0.477,0.451,0.461,0.465,0.465,0.47,0.47,0.473,0.468,0.475,0.475,0.475,0.449,0.449,0.449
Bulgaria,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.241,0.241,0.241,0.241,0.238,0.238,0.468,0.473,0.48,0.481,0.479,0.479,0.48,0.496,0.527,0.527,0.522,0.512,0.512,0.512,0.512,0.512,0.523,0.523,0.512,0.451,0.459,0.459,0.459,0.507,0.507,0.464,0.464,0.447,0.443
Burkina Faso,0.499,0.499,0.499,0.505,0.505,0.506,0.506,0.506,0.605,0.605,0.61,0.61,0.61,0.416,0.416,0.416,0.416,0.427,0.427,0.427,0.427,0.427,0.42,0.42,0.42,0.43,0.43,0.43,0.448,0.448,0.448,0.448,0.448,0.448,0.448,0.443,0.415,0.409,0.427,0.418,0.46,0.529,0.479,0.538
Burundi,0.535,0.588,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.583,0.583,0.583,0.583,0.556,0.514,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.499,0.489,0.285,0.277,0.287,0.275,0.275,0.292,0.292,0.292,0.197,0.176,0.18,0.13,0.169,0.13
Cambodia,0.647,0.647,0.647,0.647,0.615,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.478,0.434,0.434,0.487,0.273,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.178,0.178,0.178,0.178,0.117,0.117
Cameroon,0.447,0.447,0.447,0.447,0.447,0.387,0.383,0.366,0.379,0.378,0.357,0.342,0.333,0.333,0.333,0.305,0.278,0.278,0.215,0.215,0.215,0.215,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.215,0.215,0.215,0.206,0.206,0.185,0.159,0.159,0.159,0.151,0.153,0.151
Canada,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.741,0.769,0.769,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.784,0.781,0.775,0.775,0.79,0.796,0.796,0.852,0.852,0.852,0.866,0.866,0.866,0.869,0.869,0.869,0.869,0.793,0.793
Central African Republic,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.189,0.274,0.279,0.291,0.289,0.319
Chad,0.334,0.334,0.334,0.334,0.334,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.232,0.154,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.109,0.109
Chile,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.781,0.781,0.781,0.781,0.781,0.781,0.77,0.77,0.781,0.781,0.781,0.781,0.781,0.736,0.736,0.736,0.686,0.708,0.682,0.682,0.682,0.8
