country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,19,,,,11.9,,,,,,,,
Albania,,,,,,,,,,,43.5,,,,22.8,,,,,,,
Argentina,,,,,,,,,16.2,,,,12.8,21.2,19.3,30.2,24.2,,21.1,32,35,
Armenia,,,,,,,,,,,27.6,19.3,24.3,21.3,29,25.4,31.9,34.5,35.5,36.6,,
Azerbaijan,,,,,,,,,,,,,,,,,,25.1,,,,
Bangladesh,,,,,,,,15.5,,,,,16.3,,,,,,48.6,,,
Belarus,,,,,,,,,,,63.8,63.3,58.4,,62.3,59.9,60.1,57.4,56.7,,,
Belize,,,,,,,,,,,,21.1,,,,,,,,,,
Bhutan,,,,,,,,,,1.29,,,,,2.74,,,,,,,
Bolivia,,,,,,,,,11.8,62.7,81,86.7,,83.4,85.6,,85.5,82.7,86.9,85.6,,
Bosnia and Herzegovina,,,,,,,,,,21.4,,,,,,,,23.2,,,,
Botswana,,,,,,,,,,,,87.3,,,,,,68.8,,,,
Brazil,,,,,,,,,38.6,,,19.4,,21.3,22.7,,,33.6,32.1,30.4,30.3,
Bulgaria,,,,,,,,,,41.6,,,,,,,,,,,,
Burkina Faso,,,,,,33.6,,,,,,,,,,,1.5,,,,,
Cameroon,,,,,,,,,,0.701,,,,,,,0.339,,,,,
Cape Verde,,,,,,,,,,22.9,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,0.15,,,,,,,,
Chile,,,,,,,,,90.4,,,91.6,,91.6,,88.5,,86.9,,93.5,,
China,,,,,,,,,,,,,,,,53.3,,,,,,
Colombia,,,,,,,,,,,,,58.7,56.4,54.6,,78.5,40.1,35.7,33.9,31.4,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,6.82,,,,,,,
"Congo, Rep.",,,,,,,,1.05,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,69.2,67.1,66,67.7,65.3,,63.6,73.6,73.9,74.5,,
Cote d'Ivoire,,,,,4.75,,,,,,32.6,,,,,,,34.2,,,,
Croatia,,,,,,,,,,,27,,30.6,26.5,,,33.7,,,,,
Djibouti,,,,,2.46,,,,,,,,,,9.38,,,,,,,
Dominica,,,,,13.6,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,12.2,23.8,36,37,34.7,37.5,36.8,39.6,35.9,72.2,,,
Ecuador,,,,,,,,,,,77.2,,81.9,48.3,83.2,,87.7,86.5,82,84.4,,
Egypt,,,,,,,,,,,47.4,,,,,,,,,,,
El Salvador,,,,,,,,,,40.3,42,55.9,72.4,68.4,70.9,,68.8,92.7,92.8,90.1,,
Eswatini,,,49.2,,,,,,,,,64.2,,,,,,,93.7,,,
Ethiopia,,,,,,,0.701,,,,,,16.3,,,,,25.7,,,,
Fiji,,,,,,,,,,,9.02,,,,,38.3,,,,,,
Gabon,,,,,,,,54,,,,,,,,,,,,,,
Gambia,3.47,,,,,,,,,,,,7.6,,,,,,,,,
Georgia,,,,,,,,,,,,,,67.8,,,,,14.1,,,
Ghana,,,,,,,,0.728,,,,,,,1.16,,,,24.3,,,
Guatemala,,,,,,,,,60.9,,,,,77.1,,,73.1,,,,,
Guinea,,,,,,,,,,,,,,,1.75,,,,,,,
Haiti,,,,0.557,,,,,,,,,,,19.9,,,,,,,
Honduras,,,,,,,,,,,60.1,55.2,61.2,60.8,,66,,54.6,41,53.7,,
Hungary,,,,,,,,,,65.6,,,,,,,,,,,,
India,,,,,,,27.1,,,,,19.6,,94.1,,,,,,,,
Indonesia,,,,,,,,,,,,56.4,,69,71.1,,74.9,65.9,,56.4,,
Iraq,,,,,,,,,85.1,,,,,,81.7,,,,,,,
