country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Uganda,,,,,,,,,,,,,,,,,,,,,,,49.9,,,48.2,,,,46.5,,,49.7,,,52.1,,,49.8,,,,51.2,,,48.3,,,,49.8,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,37.8,,45.7,42.7,,,,,,38,38,37.9,38,38.8,36.6,36.4,35.4,35.2,34.9,35,35.1,34.6,35.6,35.1,36,36.1
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,,,,
United Kingdom,,,41.9,,,,,38.9,,,,,37.5,,,,,,,39.5,,,,,42.9,,,43.3,43,,,,43.8,,,,,43,41.3,42,43,41.6,41.7,41.8,40.7,40,40.5,41.3,40.6,42.1,,
United States,,,,,,,,41.8,,,,,41.2,,,,,,,43.2,,,,,43.9,,,45.7,,,46.3,,,46,,,,45.9,,,46.4,,,45.7,,,46.4,,,46.8,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,,47.7,48.3,48.3,49.1,,48.7,50.3,50.8,50.7,51.2,50.2,51.6,51.9,50.8,51,50.1,48,45.8,46.4,46.1,46,45.8,45.7,45.9
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,,43.7,,42,43.4,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,,,,,,,,
Venezuela,,,,,,,,,,,,,,,59.9,,,,,,58,,49.5,,,48,,,52.3,,,53.5,52.7,,52.5,54.1,53.4,52.9,54.6,50.7,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,,,,,,44.2,,,,45.4,,44.5,,43.3,,43.5,,46.3,,43,,42.2,,42.5,,42.9
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,,,,,,,43.2,,,,,,,,,44.7,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,61.9,,56.6,,,53.6,,54.2,,,,48.8,,59,,59.5,,,,61.1,,,,,61.3,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,,,,,,51.1,
