country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,0.27,,,
Bhutan,,,0.05,,,,,0.023,,
Costa Rica,0.073,0.068,0.061,0.058,0.059,0.06,0.056,0.051,0.051,0.044
Dominican Republic,0.143,0.138,0.139,0.135,0.115,0.1,0.089,,,
Ecuador,0.24,0.206,0.191,0.19,0.181,0.17,0.169,0.169,0.187,0.19
Ghana,0.179,,,,,,,,,
Guinea,,,,,0.354,,,,,
Guinea-Bissau,0.312,,,,0.27,,,,,
Mozambique,,,,,0.31,,,,,
Nepal,,,,,0.127,,,,,
Pakistan,,,,,,0.197,,,,
Philippines,,,,,,,0.104,0.071,,
