country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Denmark,,,,,,,,,,,,,,,,,,,,,,57.8,,,58.2,60,,,,,,,,84.3,82.3,,,76.3,78.8,75,74.9,75.5,76,76.5,76.8,77.7,78.2,,79.3
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,
Dominican Republic,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,,,30.8,31.7,32.6,33.5,34.2,34.9,,,
Ecuador,,,,,8.52,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,33.2,33.2,34,34.9,35.9,37.9,38.6,38.5,42.3,42.3,43.5,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,,,,,,,,,67.2,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,21.6,24.8,25.1,26.7,25.3,26.6,27,,,30.3,29.6,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5,,,,,,84.9,85.7,85.3,85.7,86.5,86.6,87.3,88.4,89.7,89.7,86.9,87,87.6
Eswatini,,,,,,,3.96,,,,,,,,,,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02,,,,8.84,,,,,,,
Fiji,,,,,,,7.25,,,,,,,,,,,,,,,,,,,,25.6,,,,,,,,,,,39.3,,,,,,,,,,44.6,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,,66.2,67.1,68,68.8,69.6,70.4,71.2,72,72.8,73.6,74,,75.5,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7,56.6,,59.4,60.3,61.3,61.9,62.8,63.7,66.3,68.5,69.4,69.7,70.1,
Gambia,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7,,,,,,,,,,90.9,,92.1,,93.5,92.5,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5,77.6,77.8,79.1,80.2,80.6,81.1,81.7,82,82.3,83,83.1,83,,83.5
Ghana,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,,,
Greece,,,,,,,,,,,,21.2,,,,,,,,,,30.7,,,,,,,,,,,,,,49,44.4,52.2,52.7,,53.7,,,,56.3,57.9,54.6,,
Guatemala,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,13.3,,,,10.6,,,,,,17.6,19.4,26.6,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.74,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,,,,,,,,,,,,,,,,
Haiti,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,19.2,18.6,,23,22.9,24.7,,23.1
Hungary,15.9,,,,,,,,,,30.6,,,,,,,,,,40.9,,,,,,,,,,,55.1,,,,63.6,,,,74.5,75.7,76.7,77.6,78.5,74.1,75.1,76.1,,
