country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Estonia,,,,,,11.3,,,16,20.3,25.4,20.1,23.2,20.8,19.3,14.5,12.7,10.9,12,27.8,30,25.5,22.9,14.6,12.8,12.2,12.7,10.8,10.3,9.81
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,
Ethiopia,,,,,,,,,,6.67,,,,,,3.97,,,,,,,,3.2,,,,,,
Fiji,,,,,,,,,,,,,,,,3.36,,,,,,2.84,,,,,2.58,,,
Finland,,,,,,,,,19,19,18.7,17.5,18.8,18.3,19.4,14.3,13.9,12.6,12.5,14.8,16.1,16.1,16,17.1,17.2,17.6,16.7,17.9,15.9,16
France,,,,,,,,,16.4,17,15.3,12.9,12.7,11.5,12.2,12.2,12.4,11.6,11,13.5,14.4,14.3,15.2,16.3,17.3,17.5,17.8,16.9,15.9,15.6
Gambia,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,11.5,
Georgia,,,,,,,,,,1.46,,,1.25,,,,,,,19.8,19,11.4,11.1,15.5,12.8,10.2,12.3,10.9,10.5,
Germany,,,,,,,,,14.9,13.9,12.5,11.5,13.3,15.7,17.6,19.1,18.6,17,15.3,15.6,14.7,12.9,12.2,11.8,11.7,11.1,10.1,9.44,8.79,7.89
Ghana,,,,,,,,,,,,,,,,,5.08,,,,,,,2.14,,6.11,,3.46,,
Greece,,,,,,,,,8.88,9.82,9.16,8.84,8.38,7.91,9.27,8.84,8.14,7.52,7.46,9.44,12.5,17.8,25.7,29.5,27.8,26.2,26.2,23.9,21.8,20.3
Guatemala,,,,,,,,,,,,,,3.93,4.73,,2.72,,,,5.09,4.79,3.65,3.94,3.6,2.91,3.14,3.06,,
Guinea,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,
Haiti,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,
Honduras,,,,,,,,,,,,,,,,5.86,3.85,3.62,3.47,3.48,3.85,4.23,3.71,5.54,7.35,5.53,6.22,5.27,5.33,
Hungary,,,,,,,,,15.6,13.7,11.5,11.2,11.4,12.3,12.4,14.3,16.8,17.5,18.9,23.2,25.1,25,24.8,23.7,18.5,17.3,13.2,11.1,10.3,9.66
Iceland,,,,,,7.59,6.81,6.58,5.04,2.94,2.98,2.86,4.51,5.52,4.48,3.79,4.61,3.6,4.61,10.2,10.5,10.2,10.2,8.26,6.96,6.15,4.53,4.74,4.53,5.72
India,,,,,3.44,,,,,,3.94,,,,,2.83,,,,,2.36,,2.41,,,,,,4.18,
Indonesia,1.89,1.99,1.95,2.04,3.29,,3.64,3.47,6.4,4.75,5.08,3.85,5.35,4.51,4.84,5.85,5.82,5.97,6.47,4.96,4.17,3.83,3.55,3.35,2.94,3.09,3.07,2.68,2.98,2.4
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95,,,
Iraq,,,,,,,,,,,,,,,,,,9.57,,,,,7.46,,,,,,,
Ireland,,,,,,,,,12.5,10.2,7.91,6.35,6.69,6.96,7.47,7.04,6.71,8.07,10.7,18,21.9,23.8,25.2,21.8,19.4,16.8,14.2,11.3,9.71,8.63
Israel,,,,,,,8.16,,12.8,13.1,14.3,14.2,15,16.9,16.3,14.9,14.4,13.9,10.5,11.7,11.2,8.55,12.9,10.9,10.5,9.54,9.57,6.85,,
Italy,,,,,,,,,12.9,12.5,12.1,10.8,10.5,10.4,9.44,9.05,7.97,7.26,8.35,9.36,10.2,10.5,13.6,15.8,16.4,15.4,15.5,15.4,14.5,13.7
Kazakhstan,,,,,,,,,,,,,,,,,,,,8.01,7.44,7.14,7.18,6.64,,,,6.7,,
Kenya,,,,,,,,,,9.57,,,,,,,9.31,,,,,,,,,,1.59,,,
