country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0069,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051,,,0.0041,,,,,,,0.0117,,,,0.0102,,,0.0388,,0.0286,0.0247,,,,0.0246,,,0.0331,,,0.0321,0.0298
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,0.125,0.134,0.113,,,0.19,,,0.157,,0.119,,,,,,0.0875,,,,,,0.0869,0.0943,,,0.103,0.108,0.101,0.0842,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0539,0.0513
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0949,0.0966,0.0947,0.098,0.0979,0.091,0.075,0.0647,0.0629,0.0609,0.0707,0.0841,0.0826,0.0856,0.0788,0.0837,0.0738,0.0583,0.0539,0.062,0.0695,0.0659,0.0739,0.0724,0.0659,0.061,0.0678,0.0731,0.0637,0.0674,0.0737,0.0762,0.0768,0.0711,0.0625
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,,,0.0747,0.0552,0.0611
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0085,0.0218,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0176,0.0211,0.0249,0.0141,0.0219,0.022,0.016,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281,0.26,0.212,0.219,0.25,0.254,0.257,,0.259,0.255,0.238,0.197
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232,,,,,,,,,,,0.174,,,,,,,,,,0.15,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0548,0.054,0.051,0.0653,0.0894,0.1
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0426,,,0.0655
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146,0.176,0.164,0.127,0.11,0.0904,0.0803,0.0607,0.0491,0.0599,0.0936,0.105,0.113,0.118,0.105,0.0846,0.0712,0.0585
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0598,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0135,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0126,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0381,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0529,0.0603,0.0644,0.0578,0.0576,0.0596,0.089,0.0995,0.0977,0.0911,0.0829,0.0774,0.0691,0.0681,0.0735,0.0925,0.1,0.103,0.0935,0.085,0.0864,0.0783,0.0706,0.0643,0.0575,0.0618,0.0657,0.0644,0.0601,0.0576,0.053,0.0506,0.0509,0.0713,0.0692,0.0626,0.0604,0.0587,0.0575,0.0583,0.0596,0.0541
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289,,0.0932
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.11,,0.067,,0.0439,0.0353,0.0423,0.0394,0.0327,0.033,0.0459,0.0349,0.0529,0.0518,0.0548,0.0887,0.0823,0.0844,0.0814,0.0775,0.0833,0.0753,0.0736,0.0664,0.0727,0.0936,0.0738,0.0621,0.0571,0.0531,0.0575,0.0594,0.0629,0.0657
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0678,0.0586,,,,,0.0554,,,,0.0757,,,,,0.119,0.124,0.111,0.108,0.0914,,0.0897,0.0902,0.0972,0.0878,0.0797,0.0784,0.0736,0.0687,0.0681,0.072,0.0751
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0393,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0249,,,,,,,0.0402,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0789,0.0731,0.0635,0.062,0.0676,0.0646,0.0631
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0671,0.0392,,,0.0249,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,0.118,0.121,0.109,0.0986,0.0869,0.0725,0.0797,0.102,0.124,0.145,0.155,0.153,0.144,0.116,0.101
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0155,0.022,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0453,0.0321,0.0277,0.0359,0.0372,0.045,0.0413,0.0336,0.0316,0.0458,0.0538,0.0682,0.105,0.139,0.139,0.131,0.117,0.104
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0343,0.0338,0.0328,0.032,0.0382,0.0516,0.0744,0.0784,0.0718,0.0631,0.0687,0.0731,0.0714,0.0636,0.0493,0.0398,0.0591,0.0644,0.0594,0.0612,0.0623,0.056,0.0464,0.0354,0.0267
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0804,0.0801,0.0711,0.0571,0.0537,0.061,0.0747,0.0795,0.0867,0.0846,0.102,0.0779,0.0616,0.0604,0.0485,0.0458,0.0428,0.0407,0.0347,0.0374,0.0496,0.047,0.0409,0.0317,0.0312,0.0263,0.052,0.0659,0.0662,0.0671,0.0628,0.0588,0.0573,0.0554,0.0521
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0903,,,,,,,,,,0.128,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0644,0.0585,0.0492
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0796,0.0645,0.0805,,0.0344,0.0309,,0.0416,0.0375,0.0304,0.0256,0.0238,0.0283,0.0391,0.0336,0.0285,0.0253,0.0235,0.0271,0.0295,0.0389,0.0337
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0574,,,,0.0474,0.0444,0.0392,0.0509,0.0522,0.0832,0.0836,0.0914,0.0979,0.0871,0.0814,0.0787
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0535,0.0567,0.0536,,,,,,,,0.0457,0.048,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00519,0.0128,0.0329,0.0629,0.0732,0.0941,0.0951,0.101,0.096,0.112,0.133,0.124,0.0894,0.0994,0.0918,0.0774,0.0557,0.0417,0.0486,0.128,0.151,0.115,0.0951,0.0827,0.0716,0.0555,0.0593,0.0525
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0313,,,,,,0.0217,,,,,,,,0.0186,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0288,,,,,,0.0307,,,0.0439,,0.0259,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203,0.0514,0.0958,0.14,0.141,0.14,0.119,0.122,0.099,0.0851,0.0794,0.0725,0.0738,0.0747,0.0744,0.0681,0.0611,0.0533,0.0487,0.066,0.068,0.0615,0.0612,0.0659,0.0711,0.0771,0.0741,0.0708
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0548,0.0653,0.073,0.0768,0.0849,0.0822,0.0813,0.0783,0.0776,0.088,0.0975,0.111,0.104,0.11,0.111,0.108,0.106,0.0927,0.0774,0.0776,0.0757,0.0795,0.0745,0.0722,0.0665,0.0603,0.0734,0.0758,0.077,0.0825,0.0875,0.0918,0.0926,0.0892,0.0847
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0837,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0568,0.0606,0.0625,0.0631,0.0665,0.0611,0.055,0.0466,0.0505,0.0616,0.0738,0.0831,0.0765,0.0808,0.0893,0.0893,0.0803,0.0712,0.072,0.0805,0.0926,0.102,0.104,0.095,0.0798,0.07,0.0729,0.0654,0.054,0.05,0.0487,0.0469,0.0438,0.039,0.0353
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0579,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0606,0.0637,0.06,0.0556,0.0548,0.0572,0.0547,0.0515,0.0574,0.0601,0.0665,0.0699,0.073,0.077,0.0769,0.0896,0.099,0.0967,0.0894,0.0876,0.0836,0.0916,0.0918,0.0819,0.0782,0.0723,0.0904,0.121,0.172,0.237,0.269,0.26,0.244,0.228,0.207
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219,,0.133,,0.111,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0222,0.0203,,,,,,0.0299,0.0301,0.0224,0.0232,0.0178,0.0142,0.0173,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0462,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0379,0.0287,0.0268,0.0253,0.0261,0.0316,0.0355,0.0296,0.0356,0.0473,0.0388,0.0357,0.0305
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0877,0.104,0.0925,0.089,0.0877,0.0782,0.0777,0.0623,0.0586,0.0519,0.0509,0.0527,0.053,0.0639,0.0684,0.0685,0.0716,0.0914,0.104,0.102,0.1,0.091,0.0681,0.0603,0.0453,0.0369
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0221,0.0321,0.0434,0.0418,0.041,0.0258,0.0298,0.0229,0.0171,0.0134,0.0133,0.0248,0.0212,0.0194,0.0165,0.0176,0.0131,0.0193,0.0614,0.0634,0.0565,0.0455,0.0465,0.0432,0.0314,0.0248,0.0185
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0127,,,,,,0.0142,,,,,0.0169,,,,,0.0115,,0.0137,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0315,0.0288,0.0294,0.0308,0.0306,0.0332,0.0387,0.0381,0.0507,0.0503,0.0372,0.0347,0.0284,0.0247,0.0229,0.0201,0.0242,0.0242,0.0234
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0785,0.0776,0.0952,0.107,,,,0.0916,0.0978,0.111,0.109
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0592,,,,,0.0555,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,0.15,0.167,0.164,0.165,0.16,0.153,0.132,0.146,0.14,0.142,0.132,0.109,0.109,0.0939,0.0719,0.0538,0.0405,0.0328,0.037,0.0401,0.0401,0.0367,0.0385,0.0426,0.0566,0.11,0.131,0.141,0.14,0.124,0.107,0.0891,0.0752,0.0586
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.0249,,0.0244,0.0205,0.0346,0.0373,0.0366,0.0327,0.0444,0.0504,,,,,0.102,0.111,0.12,0.105,0.0801,0.0702,0.0708,0.0842,0.0908,0.0983,0.0944,0.103,0.114,0.119,0.115,0.1,0.0895,0.0789,0.0682,0.0883,0.0755,0.0642,0.0612,0.0566,0.0525,0.0467,0.0422,0.0375
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0439,0.0495,0.0502,0.0621,0.0645,0.0688,0.0736,0.066,0.0699,0.0643,0.0722,0.0834,0.0882,0.0901,0.0938,0.0979,0.0951,0.0879,0.0796,0.0778,0.0746,0.0654,0.0665,0.0588,0.0531,0.0596,0.0693,0.0751,0.0747,0.0959,0.112,0.118,0.112,0.111,0.109
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,,,,0.118,,,,0.108,,,,,0.0999,0.0881,,,,0.0837,,,,0.115,0.124,0.114,0.112,0.108,0.0952
Japan,,,,,,,,,,,,,,,,,,,,,0.00967,0.00891,0.00881,0.00972,0.0103,0.00929,0.011,0.0157,0.0163,0.0162,0.0187,0.017,0.0166,0.018,0.019,0.0222,0.0219,0.0212,0.0221,0.0225,0.0198,0.0178,0.0164,0.0164,0.017,0.02,0.0234,0.0259,0.0272,0.0283,0.0344,0.0396,0.0405,0.0439,0.0487,0.0471,0.0438,0.0417,0.0389,0.037,0.0386,0.0497,0.0489,0.0443,0.0426,0.0408,0.0359,0.0343,0.0314,0.0282
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0844,0.08,0.0741,,,,0.0647,0.0661,0.0591,0.0561,0.0561,0.0557,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0702,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0147,0.0164,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,,0.0696,0.0663,0.0671,,,0.0612,0.0663,0.066,0.0637,0.0705,0.0689,0.0616,0.0583,0.0573
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00331,,,,,,,0.0804
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,0.132,0.141,0.128,0.13,0.112,0.107,0.0953,0.0616,0.0571,0.0736,0.162,0.18,0.148,0.137,0.11,0.104,0.0954,0.0929,0.0825
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0526,,,0.064,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,,,,,,,,0.304,,,,,0.229,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0222,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.128,0.154,0.156,0.128,0.111,0.0978,0.0792,0.0536,0.0397,0.052,0.127,0.167,0.143,0.126,0.11,0.0992,0.0863,0.0739,0.0663
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0229,0.0194,0.0215,0.0184,0.0194,0.0146,0.0129,0.0137,0.0129,0.0179,0.0211,0.0299,0.025,0.027,0.0207,0.0251,0.0199,0.0201,0.0142,0.0236,0.032,0.0444,0.0391,0.041,0.0337,0.0417,0.0422,0.0391,0.0429,0.0447,0.0533,0.0487,0.0583,0.0533,0.049
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00463,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0535,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0147,0.0159,0.0189,0.0161,0.0153,0.015,0.0167,0.0151,0.0161,0.0208,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0382,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0774,,,,0.0592,0.0392,0.0304,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0491,0.0406,0.048,0.0491,0.0451,0.0495,0.0514,0.051,0.049,0.053,0.0591,0.0545,0.0513,0.052,0.0462,0.0436,0.0389,0.0382
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0941,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0603,,,,,,0.0497,0.0454,0.037,0.0529,0.0695,0.0696,0.0616,0.0557,0.0568,0.0579,0.0567,0.0546,0.0563,0.0529,0.0518,0.0493,0.0488
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0222,0.0231,0.0248,0.0329,0.0538,0.0398,0.0309,0.0273,0.0214,0.0179,0.0194,0.0226,0.026,0.0295,0.0281,0.0282,0.0287,0.0309,0.0448,0.0447,0.0432,0.0407,0.0417,0.0408,0.0368,0.0335,0.0295
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0626,0.0737,0.0749,0.0664,0.0675,0.0434,0.0338,0.0574,0.067,0.0624,0.0527,0.0479,0.0375,0.0338,0.0415,0.04
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0347,,,,,,,,,,,,,,,,0.0564,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0504,0.0535,0.0539,0.0406,0.033,0.0346,0.0402,0.041,0.062,0.0562
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193,0.192,0.186,0.171,0.164,0.171,0.159
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,0.123,,0.111,0.103,0.11,0.1,0.103,0.0822,,0.0766,,,0.078,0.0786,0.0716,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0229,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00553,,0.0101
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,,,,,,,0.145,0.167,0.159,,0.203,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0119,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0984,,0.092,,0.0822,0.084,0.0794,0.0716,0.0655,0.0516,0.0556,0.0658,0.0639,0.0562,0.0482,0.037,0.0295,0.0228,0.017,0.0218,0.0311,0.0405,0.0409,0.0334,0.025,0.0202,0.0272,0.0362,0.0394,0.0463,0.0604,0.0618,0.056,0.0462,0.037
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0296,0.0295,0.0424,0.0545,0.062,0.0845,0.0858,0.0796,0.0679,0.0523,0.0506,0.0549,0.0636,0.0568,0.0466,0.0421,0.0412,0.0362,0.0298,0.0277,0.0271,0.0258,0.0294,0.0441,0.0492,0.0491,0.0534,0.0479,0.0445,0.041,0.039,0.0352
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0446,,,,,,0.0463,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.323,0.31,0.296,0.297,0.287,0.29,0.269,0.258,0.246,0.222,0.207
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0432,0.0434,0.048,0.05,0.0446,0.0439,0.0344,0.0319,0.0227,0.019,0.0239,0.0251,0.0286,0.0342,0.0326,0.0371,0.0292,0.0191,0.0192,0.0241,0.0296,0.027,0.0258,0.0288,0.0329,0.04,0.0429,0.0372
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0119,,0.0084,,,,,0.024,,0.0329,0.0277,,0.0358,,0.0427,,0.0443,,0.00459,0.0026,0.00222,0.00335,0.00436,0.005,,0.0183,0.0114,0.0223,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0454,,,,,0.0266,,,,,,,,,,,,,,,,,
