country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,0.0109,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,0.115,0.117,0.117,0.122,0.122,0.152,0.158,0.154,,0.126
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212,,,,0.113,0.096,0.108,0.0857,0.0781,0.0766,0.0773,0.0809,0.0727,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,0.0871,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099,0.0835,0.0724,,0.0592,0.0655,0.0583,0.0539,0.0557,0.0523,0.0563,,,0.0639
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162,0.18,0.168,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0388,0.0384,0.0379,0.0492,0.0718,0.0643,0.0592,0.0584,0.0596,0.0526,0.0459,0.0509,0.0731,0.0828,0.0862,0.0763,0.0663,0.0661,0.0656,0.061,0.0546,0.0504,0.053,0.0504,0.0471,0.0414,0.0386,0.0369,0.0339,0.0336,0.0454,0.0404,0.0394,0.0405,0.0456,0.0484,0.0487,0.045,0.0441
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0329,0.0412,0.0511,0.0476,0.0504,0.0453,0.0427,0.0358,0.0444,0.0425,0.0483,0.0485,0.046,0.0424,0.0361,0.0472,0.0438,0.0398,0.0433,0.049,0.0519,0.0518,0.0542,0.0514
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0501,0.0434,0.0466,0.0433,0.0425,0.0409,0.0396,0.0395,0.0402,0.0416,0.0407
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0571,,,,,0.0819,,0.0825,,0.0586,0.0685,0.128,,0.121,,,,,,
