country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Indonesia,,,,,,,,,,,,,,,,0.191,0.184,0.182,0.174,0.167,0.16,0.178,0.166,0.154,0.141,0.133,0.125,0.12,0.114,0.113,0.112,0.109,0.106,0.098,
Iraq,,,,,,,,,,,,,,,,,,,,,,0.224,,,,,,0.189,,,,,,,
Jamaica,,,,,0.305,0.284,0.446,0.339,0.244,0.228,0.275,0.261,0.199,0.159,0.169,0.187,0.169,0.197,0.191,0.169,0.148,0.143,0.099,0.123,0.165,0.176,,0.199,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,0.133,,0.144,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,0.467,0.445,0.375,0.339,0.316,0.182,0.127,0.121,0.082,0.065,0.055,0.038,0.029,0.028,0.027,0.025,0.025,,
Kenya,,,,,,,,,,,,,,,,,,,,,0.468,,,,,,,,,,0.361,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,0.218,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,0.399,0.35,0.317,0.317,0.337,0.368,0.38,0.37,0.306,0.321,0.254,0.256,0.224,
Lao,,,,,,,,,,,,,0.391,,,,,0.335,,,,,0.276,,,,,0.234,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,0.194,0.235,0.212,0.259,0.264,0.209,0.19,0.192,0.194,0.212,0.225,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,0.566,,,,,,,,,,,,,,,0.497,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,0.638,,,,,,,0.541,,0.509,,,
Lithuania,,,,,,,,,,,,,,,,,,,,0.205,0.2,0.191,0.209,0.203,0.205,0.192,0.186,0.206,0.191,0.222,,,,,
Madagascar,,,,,,,,,,,,,,,,,0.708,,,,0.732,,,,,0.717,,0.707,,,,,,,
