country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0087,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0421,0.0519,0.0561,0.0474,0.0468,0.0457,0.0708,0.0842,0.0814,0.0839,0.0745,0.0712,0.0633,0.0636,0.0609,0.0826,0.0929,0.0996,0.0919,0.0833,0.0781,0.076,0.0686,0.0595,0.0548,0.0582,0.0626,0.0627,0.0592,0.0537,0.0523,0.0506,0.0537,0.0696,0.0659,0.0663,0.062,0.0633,0.0615,0.0608,0.0636,0.0577
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288,,0.0328
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0908,0.0727,,0.0461,,0.0342,0.0301,0.0202,0.0208,0.0169,0.0215,0.0294,0.0257,0.0409,0.0409,0.0454,0.0746,0.0702,0.06,0.0567,0.0574,0.0545,0.0497,0.0464,0.0473,0.046,0.0668,0.0446,0.0406,0.0357,0.0309,0.0385,0.0323,0.0412,0.042
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0591,0.0551,,,,,0.0394,,,,0.043,,,,,0.0792,0.0841,0.0759,0.0714,0.0613,,0.0589,0.0591,0.0707,0.0617,0.0551,0.0545,0.0491,0.0491,0.0477,0.05,0.0487
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0254,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0191,,,,,,,0.0143,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0591,0.0534,0.0371,0.0369,0.0436,0.0412,0.0354
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0218,0.0286,,,0.00877,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0725,0.0675,0.0649,0.0723,0.0603,0.0607,0.0548,0.0583,0.0654,0.0773,0.104,0.0991,0.116,0.116,0.0957,0.0747
