country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,23.6,,,,12.5,,,,,,,,
Albania,,,,,,,,,,,45.6,,,,27.7,,,,,,,
Argentina,,,,,,,,,28.1,,,,21.8,26.2,25.2,45.8,41.8,,41.2,51.9,56.8,
Armenia,,,,,,,,,,,34.1,28.1,32.8,27.5,36.9,34.4,40.1,43.7,47.3,47.7,,
Azerbaijan,,,,,,,,,,,,,,,,,,33.4,,,,
Bangladesh,,,,,,,,22.5,,,,,22.3,,,,,,53,,,
Belarus,,,,,,,,,,,69.9,71.1,68.9,,66.2,62.9,66.4,60.9,64.9,,,
Belize,,,,,,,,,,,,18.5,,,,,,,,,,
Bhutan,,,,,,,,,,1.57,,,,,3.92,,,,,,,
Bolivia,,,,,,,,,6.77,72.6,84.9,90.2,,88.3,88.2,,89.7,87.5,89.1,89.8,,
Bosnia and Herzegovina,,,,,,,,,,21.8,,,,,,,,23.2,,,,
Botswana,,,,,,,,,,,,91.6,,,,,,63.3,,,,
Brazil,,,,,,,,,59.2,,,22.8,,24.6,24.9,,,58.5,62.4,60.6,61.9,
Bulgaria,,,,,,,,,,57.6,,,,,,,,,,,,
Burkina Faso,,,,,,31.5,,,,,,,,,,,1.58,,,,,
Cameroon,,,,,,,,,,0.182,,,,,,,0,,,,,
Cape Verde,,,,,,,,,,25.3,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,0.0872,,,,,,,,
Chile,,,,,,,,,94.4,,,93.3,,94.1,,93,,89.3,,95.9,,
China,,,,,,,,,,,,,,,,65,,,,,,
Colombia,,,,,,,,,,,,,65.8,63.3,61.1,,81.4,52.6,48.4,46.5,44.4,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,4.83,,,,,,,
"Congo, Rep.",,,,,,,,1.02,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,79,74.9,77.1,78.1,75,,77.6,81,82.1,83.2,,
Cote d'Ivoire,,,,,3.25,,,,,,28.6,,,,,,,36.5,,,,
Croatia,,,,,,,,,,,46.3,,47.9,44.7,,,58.9,,,,,
Djibouti,,,,,2.37,,,,,,,,,,30.8,,,,,,,
Dominica,,,,,10.6,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,19.1,33.4,37.9,40.5,38,40.9,35.4,40.6,39.7,83.4,,,
Ecuador,,,,,,,,,,,84,,85.7,58.7,88.6,,92.7,91.4,86.7,90.2,,
Egypt,,,,,,,,,,,54.9,,,,,,,,,,,
El Salvador,,,,,,,,,,52.1,54.6,67.1,77.8,74.9,76.9,,71.4,93.8,93.2,91.8,,
Eswatini,,,47.1,,,,,,,,,70.9,,,,,,,96.7,,,
Ethiopia,,,,,,,0.595,,,,,,16.2,,,,,21.2,,,,
Fiji,,,,,,,,,,,11.2,,,,,38.8,,,,,,
Gabon,,,,,,,,48.8,,,,,,,,,,,,,,
Gambia,1.12,,,,,,,,,,,,5.74,,,,,,,,,
Georgia,,,,,,,,,,,,,,77.8,,,,,29.1,,,
Ghana,,,,,,,,0.613,,,,,,,1.28,,,,38.7,,,
Guatemala,,,,,,,,,60.1,,,,,78.5,,,71.6,,,,,
Guinea,,,,,,,,,,,,,,,1.28,,,,,,,
Haiti,,,,1.02,,,,,,,,,,,21.5,,,,,,,
Honduras,,,,,,,,,,,67.6,61.7,68.6,62.8,,69.4,,65.4,52.3,63.2,,
Hungary,,,,,,,,,,81.3,,,,,,,,,,,,
India,,,,,,,29.1,,,,,20.8,,95.6,,,,,,,,
Indonesia,,,,,,,,,,,,64.6,,78.8,81.2,,85,75.6,,66,,
Iraq,,,,,,,,,86.4,,,,,,86.1,,,,,,,
Jamaica,,,,,42.7,,,,,,,,72.1,,,,,,,,,
Jordan,,,,,,,,,87,,,,83.3,,,,,,,,,
Kazakhstan,,,,,,,,,,42.2,,,45,,,,74.3,44.6,,,,
Kenya,,,,,,,,34.4,,,,,,,,,,34.5,,,,
Kiribati,,,,,,,,,4.84,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,15.7,,,,,15.6,11.4,13.3,,,,,,
Latvia,,,,,,,,,,,39.7,67.2,,,,,,,,,,
Lebanon,,,,,,,3.15,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,7.67,,,,,,,88.9,,
Liberia,,,,,,,,,,60.8,,,,,,,7.18,,21,,,
Lithuania,,,,,,,,,,,68.1,,,,,,,,,,,
Malawi,,,,,,,60.5,,,,,,19.1,,,42.5,,,49.5,,,
Malaysia,,,,,,,,,,,93.8,,,,95.4,,98.8,,97.6,,,
Maldives,,,,,,,1.89,,,,,27.9,,,,,,,31.2,,,
Mauritania,,,,,,,,,,,30.3,,,,,,47.5,,,,,
Mauritius,,,,,,,,,44.7,,,,,,51.8,,,,,,,
Mexico,,,,,,,,,,,26.7,,54.9,,68.9,,53.8,,50.5,,49.7,
"Micronesia, Fed. Sts.",,,4.62,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,41.7,,38.8,29.6,,,,,,
Mongolia,,,,,,,,,,91.7,,93.2,97.3,99.9,99.8,,95.2,,96.8,,,
Montenegro,,,,,,,,,,,,,,15,23.1,27.1,22.6,,,,,
Morocco,,,,,,,,,,,,50.1,,,,,,,,,,
Mozambique,,,,,,,,,,,7.68,,,,,,1.57,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,10.2,,
Namibia,,,,,,19.3,,,,,,26.1,,,,,,50.1,,,,
Nepal,,,,,,,,,,,,,48.9,,,,,,,,,
Nicaragua,,,,,,,,66,,,,54.4,,,,,74.3,,,,,
Niger,,,,,,,,,,,,,,2.58,,,15.5,,,,,
Nigeria,,,,,,,,,,,,,1.02,,3.06,,,4.08,,,,
Pakistan,,,,,,,,,,1.14,,13.4,,,,19.7,,21.1,,,,
Palau,,,,,,,,,8.67,,,,,,,,,,,,,
Palestine,,,,,,,,,,22.5,,21.4,,,,,,,,,,
Panama,,,,,,,,,,,79,82.6,83.5,79.3,84.5,84.7,81,89.5,90.6,87.1,89.2,
Papua New Guinea,,,,,,,,,,,,1.92,,,,,,,,,,
Paraguay,,,,,,,,,,51.6,58.7,58.9,73,72.7,92.8,82.4,82.5,83.9,85.1,86.3,,
Peru,,,,,,,,,,,78,84.6,85.8,85.8,90,85.7,88,88.2,89.4,89.2,,
Philippines,,,,,,,,,,,,,,,,57.3,,62.1,,,,
Poland,,,,,,,,71,69.6,66.9,62,60.8,60.5,60.1,60.6,,,50.7,,,,
Romania,,,,,,,,,,,79.5,,,82.8,82.9,,,,,,,
Russia,,,,,,,,,,46.8,,,,,,,76.3,74.9,78.9,78.5,,
Rwanda,,,,,,,,0.735,,,,,25.3,,,20.1,,,,,,
Senegal,,,,,,,,,,,,,,5.15,,,,,,,,
Serbia,,,,,,,,,,21.8,,,26,,,26.5,,29.5,,,,
Sierra Leone,,,,,,,,,,,,,,34.6,,,,,,,,
Slovak Republic,,,,,,,,,,,,95.6,,,,,,,,,,
Solomon Islands,,,,,,,,1.11,,,,,,,,,,,,,,
South Africa,,,,,,,,83.9,,,,,86.3,,,,96.1,,,,,
South Sudan,,,,,,,,,,,,3.37,,,,,,,,,,
Sri Lanka,,,,,,,,,52.1,,,44.7,,,46.7,,,,48.3,,,
Sudan,,,,,,,,,,,,13.1,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,13,,,,,,,,
Tanzania,,,,,,,,,,,6.94,,13.2,,20.6,,8.67,,,,,
Thailand,,,,,,,,,68.6,,,85.1,,83.2,,81.6,,,,,,
Timor-Leste,,,,,,,,,,23.5,,,,41.4,,,,,,,,
Tunisia,,,,,,,,,,,,,19.8,,,,,,,,,
Turkey,,,,,,,33,33.3,36.8,46.5,56.1,41.7,47.5,48.1,42.5,44.5,46.3,47.8,51.3,,,
Uganda,,,,,,,,13,,,,5.1,,,75.7,,,,,,,
Ukraine,,,,,,,,,53.5,,,,,58,58.6,58.1,,47,39.7,,,
Uruguay,,,,,,,,,,,78.5,87.7,91.1,90.1,91.7,,,90.5,90.5,89.6,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,10.3,
Venezuela,,,,,,,,,5,,,,,,,,,,,,,
Vietnam,,,,,,,,,47.2,,,,58.3,,58.9,,48.4,,,,,
Yemen,,,,,,,,16.3,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,1.02,,,,,0.62,,,,
Zimbabwe,,,,,,,,,,28.4,,,,37.2,,,,,,14.8,,59
