country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,,,,,,,6.9,,,,18,,,,,,,
Argentina,,,,,1.45,,,,1.73,1.81,1.28,0.35,0.607,,0.393,0.401,0.704,
Armenia,,,,,,,3.67,3.91,6.23,4.32,3.5,2.43,0.688,,,,,
Azerbaijan,,,,,,,,,,,,,,3.52,,,,
Bangladesh,,,,,,,,,5.01,,,,,,,,,
Belarus,,,,,,,1.08,1.04,1.22,,1.02,,,1.77,1.22,,,
Belize,,,,,,,,5.28,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,0.523,12.5,8.02,,
Bosnia and Herzegovina,,,,,,2.45,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,9.35,,,,
Brazil,,,,,6.8,,,8.2,,6.51,6.85,,,8.49,3.67,2.22,2.32,
Bulgaria,,,,,,14.1,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,1.57,,,,,,
Cameroon,,,,,,,,,,,,,0.343,,,,,
Cape Verde,,,,,,4.41,,,,,,,,,,,,
Chile,,,,,19.3,,,17.3,,0.701,,17.9,,21.1,,18.3,,
Comoros,,,0.345,,,,,,,,,,,,,,,
Costa Rica,,,,,,,19.7,22.6,17.8,19.9,21.6,,22.9,25.1,25.6,26.6,,
Cote d'Ivoire,0.248,,,,,,,,,,,,,,,,,
Croatia,,,,,,,4.55,,7.15,7.11,,,4.48,,,,,
Djibouti,0.268,,,,,,,,,,3.29,,,,,,,
Ecuador,,,,,,,0.215,,0.255,0.254,0.296,,1.2,1.8,,0.592,,
El Salvador,,,,,,1.89,0.6,1.41,2.18,0.997,1.23,,1.58,1.29,1.07,1.63,,
Eswatini,,,,,,,,,,,,,,,2.28,,,
Georgia,,,,,,,,,,0.269,,,,,,,,
Ghana,,,,1.19,,,,,,,11.9,,,,,,,
Guatemala,,,,,,,,,,,,,1.79,,,,,
Honduras,,,,,,,0.0587,,1.21,3.21,,,,,,,,
Hungary,,,,,,10.9,,,,,,,,,,,,
India,,,2.09,,,,,2.31,,,,,,,,,,
Indonesia,,,,,,,,1.49,,4.59,3.59,,4.45,6.07,,7.35,,
Iraq,,,,,0.525,,,,,,3.37,,,,,,,
Jamaica,4.54,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,14.3,,,,,
Kyrgyz Republic,,,,,,,,,,25.6,22.4,28.8,,,,,,
Latvia,,,,,,,7.96,12.4,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,1.5,,
Liberia,,,,,,9.82,,,,,,,,,,,,
Lithuania,,,,,,,1.81,,,,,,,,,,,
Madagascar,,,,,,,,,2.18,,,,,,,,,
Mauritius,,,,,0.539,,,,,,2.01,,,,,,,
Moldova,,,,,,,,,3.91,,1.99,0.506,,,,,,
Mongolia,,,,,,6.72,,6.08,4.63,,6.21,,5.97,,7.49,,,
Montenegro,,,,,,,,,,6.41,2.85,1.34,2.53,,,,,
Morocco,,,,,,,,5.11,,,,,,,,,,
Mozambique,,,,,,,,,,,,,0.363,,,,,
Myanmar,,,,,,,,0.887,,,,,,,,,,
Namibia,,,,,,,,,,,,,,3.12,,,,
Nicaragua,,,,,,,,2.38,,,,,5.76,,,,,
Panama,,,,,,,14.2,1.1,1.52,1.26,0.727,,0.755,0.777,1.63,1.63,1.29,
Peru,,,,,,,,,,,,0.946,,,,,,
Poland,,,,32.6,27.6,21.4,15.7,17.9,4.63,3.28,3.55,,,2.22,,,,
Romania,,,,,,,2.19,,,3.05,2.74,,,,,,,
Russia,,,,,,0.814,,,,,,,3.26,2.81,3.55,2.74,,
Rwanda,,,,25.6,,,,,5.68,,,1.45,,,,,,
Senegal,,,,,,,,,,3.25,,,,,,,,
Serbia,,,,,,,,,,,,,,1.78,,,,
Slovak Republic,,,,,,,,5.82,,,,,,,,,,
South Africa,,,,0.933,,,,,,,,,,,,,,
Tanzania,,,,,,,,,4.66,,4.44,,0.437,,,,,
Turkey,,,,,,,,1.38,1.19,1.2,1.24,0.86,1.47,1.38,1.61,,,
Ukraine,,,,,7.8,,,,,4.66,3.76,5.1,,,4.86,,,
Uruguay,,,,,,,2.42,2.54,2.97,2.53,3.28,,,4.04,4.15,3.56,,
Vietnam,,,,,6.61,,,,19.9,,16.2,,9.18,,,,,
Yemen,,,,0.0671,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,0.376,,0
