country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,,,,,,,5.3,,,,12.3,,,,,,,
Argentina,,,,,1.78,,,,1.14,1.14,1.28,0.422,0.75,,0.633,0.528,0.582,
Armenia,,,,,,,1.89,3.9,7.2,2.63,2.82,3.75,0.909,,,,,
Azerbaijan,,,,,,,,,,,,,,3.28,,,,
Bangladesh,,,,,,,,,4.77,,,,,,,,,
Belarus,,,,,,,0.373,1.16,0.259,,0.43,,,0.471,1.22,,,
Belize,,,,,,,,8.02,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,0.952,29.8,26.8,,
Bosnia and Herzegovina,,,,,,1.13,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,4.32,,,,
Brazil,,,,,6.71,,,8.02,,6.11,6.22,,,6.37,2.97,2.79,2.25,
Bulgaria,,,,,,9.62,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,2.02,,,,,,
Cameroon,,,,,,,,,,,,,1.76,,,,,
Cape Verde,,,,,,3.04,,,,,,,,,,,,
Chile,,,,,29.8,,,26.1,,0.67,,21.8,,28.2,,24.4,,
Comoros,,,0.0024,,,,,,,,,,,,,,,
Costa Rica,,,,,,,26.7,30.9,24.8,26.4,27,,28,29.6,29.5,30.5,,
Cote d'Ivoire,0.597,,,,,,,,,,,,,,,,,
Croatia,,,,,,,4.33,,4.06,3.88,,,5.41,,,,,
Djibouti,0.0472,,,,,,,,,,5.14,,,,,,,
Ecuador,,,,,,,0.424,,0.268,0.423,0.314,,2.92,3.17,,1.92,,
El Salvador,,,,,,1.01,0.904,0.732,1.92,0.838,0.836,,2,0.893,0.928,0.936,,
Eswatini,,,,,,,,,,,,,,,3.27,,,
Georgia,,,,,,,,,,0.486,,,,,,,,
Ghana,,,,1.75,,,,,,,11.3,,,,,,,
Guatemala,,,,,,,,,,,,,2.46,,,,,
Honduras,,,,,,,0.163,,0.706,0.838,,,,,,,,
Hungary,,,,,,6.63,,,,,,,,,,,,
India,,,3.87,,,,,5.18,,,,,,,,,,
Indonesia,,,,,,,,1.7,,4.5,3.96,,4.54,5.87,,9.32,,
Iraq,,,,,0.852,,,,,,2.62,,,,,,,
Jamaica,3.81,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,8.17,,,,,
Kyrgyz Republic,,,,,,,,,,22.5,21.6,25.9,,,,,,
Latvia,,,,,,,7,9.29,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,1.68,,
Liberia,,,,,,10.1,,,,,,,,,,,,
Lithuania,,,,,,,1.26,,,,,,,,,,,
Madagascar,,,,,,,,,5.89,,,,,,,,,
Mauritius,,,,,1.25,,,,,,1.56,,,,,,,
Moldova,,,,,,,,,1.56,,0.838,0.289,,,,,,
Mongolia,,,,,,3.57,,4.19,2.96,,4.94,,4.12,,4.95,,,
Montenegro,,,,,,,,,,3.25,4.41,1.11,9.6,,,,,
Morocco,,,,,,,,10.8,,,,,,,,,,
Mozambique,,,,,,,,,,,,,1.56,,,,,
Myanmar,,,,,,,,2.83,,,,,,,,,,
Namibia,,,,,,,,,,,,,,2.64,,,,
Nicaragua,,,,,,,,4.39,,,,,9.84,,,,,
Panama,,,,,,,19.9,0.933,1.14,0.404,0.471,,1.01,0.649,0.635,0.721,1.19,
Peru,,,,,,,,,,,,0.247,,,,,,
Poland,,,,13.5,10.9,8.84,7.24,8.04,2.17,1.82,1.81,,,1.24,,,,
Romania,,,,,,,1.24,,,2.83,2.04,,,,,,,
Russia,,,,,,0.593,,,,,,,1.5,0.8,0.948,1.03,,
Rwanda,,,,37.6,,,,,8.15,,,2.26,,,,,,
Senegal,,,,,,,,,,1.1,,,,,,,,
Serbia,,,,,,,,,,,,,,1.13,,,,
Slovak Republic,,,,,,,,2.99,,,,,,,,,,
South Africa,,,,1.06,,,,,,,,,,,,,,
Tanzania,,,,,,,,,6.15,,7.54,,1.47,,,,,
Turkey,,,,,,,,1.5,1.29,0.802,1.14,0.723,1.69,2.09,1.55,,,
Ukraine,,,,,5.08,,,,,2.65,2.92,2.27,,,3.26,,,
Uruguay,,,,,,,1.27,1.56,1.55,1.86,1.61,,,2.33,2.14,1.58,,
Vietnam,,,,,2.05,,,,12.3,,6.41,,3.95,,,,,
Yemen,,,,0.0368,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,2.13,,0.483
