country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ghana,,,,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,
Greece,,,,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10
Grenada,,,,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Guatemala,,,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
Guinea,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Guinea-Bissau,,,,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Guyana,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Haiti,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Honduras,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,
Hungary,,,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,13,13,13,13,
Iceland,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
India,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,
Indonesia,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Iran,,,,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,9,9,9,9,9,9,
Iraq,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Ireland,,,,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Israel,,,,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,15,15,15,15
Italy,,,,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Jamaica,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Japan,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Jordan,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Kazakhstan,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Kenya,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,
Kiribati,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,
Kuwait,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Kyrgyz Republic,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,
Lao,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,
Latvia,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
Lebanon,,,,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,
Lesotho,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,
Liberia,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Libya,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Liechtenstein,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Lithuania,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Luxembourg,,,,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,
Madagascar,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Malawi,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Malaysia,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Mali,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Malta,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
Marshall Islands,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,
Mauritania,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Mauritius,,,,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
Mexico,,,,9,9,9,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,
Moldova,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,
Monaco,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11
Mongolia,,,,8,8,8,8,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,
Montenegro,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Morocco,,,,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Myanmar,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Namibia,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
Nauru,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,
Nepal,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9
Netherlands,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
New Zealand,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Nicaragua,,,,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,
Nigeria,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
North Korea,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
North Macedonia,,,,,,,,,,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,
Norway,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Oman,,,,,,,,,,,,,,,,,,,,,10,10,10,10,
Pakistan,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Palau,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Palestine,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Panama,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
Paraguay,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,
Peru,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,
Philippines,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
Poland,,,,,,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Portugal,,,,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12
Qatar,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Romania,,,,,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Russia,,,,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,
Rwanda,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Samoa,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
San Marino,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Sao Tome and Principe,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Saudi Arabia,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
