country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Senegal,,,,,,,,,,,,,,3.22,,,,,,,,
Serbia,,,,,,,,,,30.7,,,39,,,35.5,,34.5,,,,
Slovak Republic,,,,,,,,,,,,38.4,,,,,,,,,,
Solomon Islands,,,,,,,,3.96,,,,,,,,,,,,,,
South Africa,,,,,,,,20.8,,,,,24.6,,,,25.5,,,,,
South Sudan,,,,,,,,,,,,3.91,,,,,,,,,,
Sri Lanka,,,,,,,,,32.5,,,32.3,,,30,,,,32.6,,,
Sudan,,,,,,,,,,,,18,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,7.56,,,,,,,,
Tanzania,,,,,,,,,,,2.96,,0.595,,3.13,,17.9,,,,,
Thailand,,,,,,,,,26.5,,,25.5,,20.7,,24.3,,,,,,
Timor-Leste,,,,,,,,,,0.946,,,,13.9,,,,,,,,
Tunisia,,,,,,,,,,,,,19.8,,,,,,,,,
Turkey,,,,,,,21.6,26.7,29,39.7,41.1,34.6,35.4,33.9,38.4,42.8,36.7,39.6,43.9,,,
Uganda,,,,,,,,,,,,0.611,,,1.52,,,,,,,
Ukraine,,,,,,,,,23.5,,,,,23.2,24.1,24.2,,24.8,22.1,,,
Uruguay,,,,,,,,,,,35.2,,,,12.2,,,36.4,36.3,49.6,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,29.7,
Vietnam,,,,,,,,,14.5,,,,6.5,,43.7,,63.8,,,,,
Yemen,,,,,,,,22.9,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,1.05,,,,
Zimbabwe,,,,,,,,,,0.786,,,,8.09,,,,,,2.8,,49.3
